DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Temerature Rising Rate (Celcius Degree min-1),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),LSV Scanning Speed (mV s-1),Electrolyte Proton Concentration (M),Electrolyte O2 Saturated (0/1),Overpotential (mV @10 mA cm-2)
10.1016/j.jallcom.2021.162113,Peoples R China,Qufu Normal Univ,JOURNAL OF ALLOYS AND COMPOUNDS,6.371,10/21/2021,4,456,0.00877193,Cu,Ru,None,None,Cu-RuO2-200,74.69661761,25.30338239,0,0,150,900,0,0,0,0,200,10,240,0,0,0,0,0.704,0,0,0,1,1,1,216
10.1016/j.jallcom.2021.162113,Peoples R China,Qufu Normal Univ,JOURNAL OF ALLOYS AND COMPOUNDS,6.371,10/21/2021,4,456,0.00877193,Cu,Ru,None,None,Cu-RuO2-300,74.69661761,25.30338239,0,0,150,900,0,0,0,0,300,10,240,0,0,0,0,0.704,0,0,0,1,1,1,201
10.1016/j.jallcom.2021.162113,Peoples R China,Qufu Normal Univ,JOURNAL OF ALLOYS AND COMPOUNDS,6.371,10/21/2021,4,456,0.00877193,Cu,Ru,None,None,Cu-RuO2-400,74.69661761,25.30338239,0,0,150,900,0,0,0,0,400,10,240,0,0,0,0,0.704,0,0,0,1,1,1,245
10.1016/j.jallcom.2021.162113,Peoples R China,Qufu Normal Univ,JOURNAL OF ALLOYS AND COMPOUNDS,6.371,10/21/2021,4,456,0.00877193,Cu,Ru,None,None,Cu-RuO2-500,74.69661761,25.30338239,0,0,150,900,0,0,0,0,500,10,240,0,0,0,0,0.704,0,0,0,1,1,1,286
10.1016/j.apcatb.2021.120899,Taiwan,Natl Tsing Hua Univ,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,11/27/2021,11,419,0.026252983,Co,None,None,None,Co3O4@C/FTO,100,0,0,0,150,120,0,0,0,0,400,3,60,0,0,0,0,0.902,0.198,0,1,1,1,,422
10.1016/j.apcatb.2021.120899,Taiwan,Natl Tsing Hua Univ,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,11/27/2021,11,419,0.026252983,Co,Fe,None,None,Fe-Co3O4@C/FTO,99.33774834,0.662251656,0,0,150,120,0,0,0,0,400,3,60,0,0,0,0,0.8877,0.2123,0,1,1,1,,396
10.1016/j.apcatb.2021.120834,South Korea,Kyungpook Natl Univ,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,11/8/2021,8,438,0.01826484,Pd,Ir,None,None,Pd@Ir c-nc,79.5959596,20.4040404,0,0,200,120,1,0,1,0,25,0,0,0,0,0,0,0.068,0.272,0,0,10,0.1,0,248
10.1016/j.apcatb.2021.120834,South Korea,Kyungpook Natl Univ,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,11/8/2021,8,438,0.01826484,Pd,Ir,None,None,Pd@Ir f-nc,85.55917481,14.44082519,0,0,200,15,1,0,1,0,25,0,0,0,0,0,0,0.068,0.272,0,0,10,0.1,0,292
10.1016/S1872-2067(21)63856-1,Peoples R China,Fudan Univ,CHINESE JOURNAL OF CATALYSIS,12.92,12/2/2021,10,414,0.024154589,Ru,Pb,None,None,RuPbOx,83.33333333,16.66666667,0,0,0,2280,0,0,0,0,500,2,60,0,0,0,0,0.229,0.091,0,0,2,1,,191
10.1016/S1872-2067(21)63856-1,Peoples R China,Fudan Univ,CHINESE JOURNAL OF CATALYSIS,12.92,12/2/2021,10,414,0.024154589,Ru,Pb,None,None,RuPbOx,75,25,0,0,0,2280,0,0,0,0,500,2,60,0,0,0,0,0.229,0.091,0,0,2,1,,221
10.1016/S1872-2067(21)63856-1,Peoples R China,Fudan Univ,CHINESE JOURNAL OF CATALYSIS,12.92,12/2/2021,10,414,0.024154589,Ru,Pb,None,None,RuPbOx,87.5,12.5,0,0,0,2280,0,0,0,0,500,2,60,0,0,0,0,0.229,0.091,0,0,2,1,,217
10.1016/S1872-2067(21)63856-1,Peoples R China,Fudan Univ,CHINESE JOURNAL OF CATALYSIS,12.92,12/2/2021,10,414,0.024154589,Ru,Pb,None,None,RuPbOx,100,0,0,0,0,2280,0,0,0,0,500,2,60,0,0,0,0,0.229,0.091,0,0,2,1,,285
10.1016/j.cej.2021.130762,Peoples R China,Tongji Univ,CHEMICAL ENGINEERING JOURNAL,16.744,11/12/2021,14,434,0.032258065,Ni,Ru,None,None,Ni/RuOx@C,66.64006385,33.35993615,0,0,25,180,1,0,0,0,400,10,180,0,1,0,0,0.063,0.2953,0,0,5,1,1,211
10.1016/j.cej.2021.130762,Peoples R China,Tongji Univ,CHEMICAL ENGINEERING JOURNAL,16.744,11/12/2021,14,434,0.032258065,Ni,Ru,None,None,Ni/RuO?x,66.64006385,33.35993615,0,0,60,360,1,0,0,0,400,10,180,0,1,0,0,0.292,0.0583,0,0,5,1,1,286
10.1088/1361-6528/ac4068,Peoples R China,Sch Phys Sci & Technol,NANOTECHNOLOGY,3.953,12/31/2021,0,385,0,Ir,Co,None,None,IrCo@IrCoOx,75,25,0,0,270,120,1,0,1,0,25,0,0,0,0,0,0,0.5,0,0,1,5,1,0,329
10.1088/1361-6528/ac4068,Peoples R China,Sch Phys Sci & Technol,NANOTECHNOLOGY,3.953,12/31/2021,0,385,0,Ir,Co,None,None,IrCo-100,75,25,0,0,270,120,1,0,1,0,100,7,180,0,0,0,0,0.5,0,0,1,5,1,0,325
10.1088/1361-6528/ac4068,Peoples R China,Sch Phys Sci & Technol,NANOTECHNOLOGY,3.953,12/31/2021,0,385,0,Ir,Co,None,None,IrCo-200,75,25,0,0,270,120,1,0,1,0,200,7,180,0,0,0,0,0.5,0,0,1,5,1,0,260
10.1088/1361-6528/ac4068,Peoples R China,Sch Phys Sci & Technol,NANOTECHNOLOGY,3.953,12/31/2021,0,385,0,Ir,Co,None,None,IrCo-300,75,25,0,0,270,120,1,0,1,0,300,7,180,0,0,0,0,0.5,0,0,1,5,1,0,281
10.1088/1361-6528/ac4068,Peoples R China,Sch Phys Sci & Technol,NANOTECHNOLOGY,3.953,12/31/2021,0,385,0,Ir,Co,None,None,IrCo-400,75,25,0,0,270,120,1,0,1,0,400,7,180,0,0,0,0,0.5,0,0,1,5,1,0,354
10.1088/1361-6528/ac4068,Peoples R China,Sch Phys Sci & Technol,NANOTECHNOLOGY,3.953,12/31/2021,0,385,0,Ir,Co,None,None,IrCo-500,75,25,0,0,270,120,1,0,1,0,500,7,180,0,0,0,0,0.5,0,0,1,5,1,0,385
10.1016/j.apcatb.2021.120528,Peoples R China,Harbin Inst Technol,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,10/8/2021,20,469,0.042643923,Ru,None,None,None,RuO2,100,0,0,0,60,720,1,0,0,0,500,10,60,0,0,0,0,0.3,0,0,1,5,1,,281
10.1016/j.apcatb.2021.120528,Peoples R China,Harbin Inst Technol,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,10/8/2021,20,469,0.042643923,Ru,Ce,None,None,Ru3CeOx,75,25,0,0,60,720,1,0,0,0,500,10,60,0,0,0,0,0.3,0,0,1,5,1,,262
