DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Temerature Rising Rate (Celcius Degree min-1),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),Electrolyte Proton Concentration (M),Stability Current Density (mA cm-2),Stability Test Time (h),Log (Decay Rate) (mV/h)
10.1016/j.jallcom.2021.162113,Peoples R China,Qufu Normal Univ,JOURNAL OF ALLOYS AND COMPOUNDS,6.371,10/21/2021,4,456,0.00877193,Cu,Ru,None,None,Cu-RuO2-300,74.69661761,25.30338239,0,0,150,900,0,0,0,0,300,10,240,0,0,0,0,0.704,0,0,0,1,10,24,0.432969291
10.1016/j.apcatb.2021.120899,Taiwan,Natl Tsing Hua Univ,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,11/27/2021,11,419,0.026252983,Co,None,None,None,Co3O4@C/FTO,100,0,0,0,150,120,0,0,0,0,400,3,1,0,0,0,0,0.902,0.198,0,1,1,10,25,0.447158031
10.1016/j.apcatb.2021.120899,Taiwan,Natl Tsing Hua Univ,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,11/27/2021,11,419,0.026252983,Co,None,None,None,Co3O4@C/FTO,100,0,0,0,150,120,0,0,0,0,400,3,1,0,0,0,0,0.902,0.198,0,1,1,10,30,0.698970004
10.1016/j.apcatb.2021.120899,Taiwan,Natl Tsing Hua Univ,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,11/27/2021,11,419,0.026252983,Co,Fe,None,None,Fe-Co3O4@C/FTO,99.33774834,0.662251656,0,0,150,120,0,0,0,0,400,3,1,0,0,0,0,0.8877,0.2123,0,1,1,10,40,0.176091259
10.1016/j.apcatb.2021.120899,Taiwan,Natl Tsing Hua Univ,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,11/27/2021,11,419,0.026252983,Co,Fe,None,None,Fe-Co3O4@C/FTO,99.33774834,0.662251656,0,0,150,120,0,0,0,0,400,3,1,0,0,0,0,0.8877,0.2123,0,1,1,10,50,0.301029996
10.1016/j.apcatb.2021.120528,Peoples R China,Harbin Inst Technol,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,10/8/2021,20,469,0.042643923,Ru,Ce,Mo,None,Ru3MoCeOx,60,20,0.2,0,60,720,1,0,0,0,500,10,60,0,0,0,0,0.3,0,0,1,1,10,100,-0.744727495
10.1016/j.apcatb.2021.120528,Peoples R China,Harbin Inst Technol,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,10/8/2021,20,469,0.042643923,Ru,Ce,Mo,None,Ru3MoCeOx,60,20,0.2,0,60,720,1,0,0,0,500,10,60,0,0,0,0,0.3,0,0,1,1,100,100,-0.251811973
10.1002/smtd.202101236,South Korea,Korea Univ,SMALL METHODS,15.367,11/25/2021,6,421,0.014251781,Ru,Ir,Mn,None,Mn-RuIr CNT,63.82978723,31.91489362,0.042553191,0,80,10,1,0,1,0,240,,60,0,1,0,0,0.127,0.127,0,0,0.1,10,180,-0.585026652
10.1038/s41467-021-26336-2,Peoples R China,Soochow Univ,NATURE COMMUNICATIONS,17.694,10/26/2021,42,451,0.093126386,Ir,None,None,None,1T-IrO2,100,0,0,0,25,0,0,0,0,1,800,10,180,1,0,0,0,0.212,0,0,0,0.1,50,45,-0.193820026
10.1016/j.joule.2021.10.002,Peoples R China,Soochow Univ,JOULE,46.048,1/4/2022,12,381,0.031496063,Ir,None,None,None,3R-IrO2,100,0,0,0,25,0,0,0,0,1,500,,30,1,0,0,0,0.5,0,0,0,0.1,10,511,-1.22184875
