primary_metal,secondary_metal,primary_pct,secondary_pct,hydrothermal_temp_C,annealing_temp_C,annealing_time_min,catalyst_loading_mg_cm2,proton_conc_M,overpotential_mV
Co,None,100.0,0.0,150,400,60.0,0.902,1.0,422
Co,None,99.33774834,0.662251656,150,400,60.0,0.8877,1.0,396
Ru,None,83.33333333,16.66666667,0,500,60.0,0.229,1.0,191
Ru,None,75.0,25.0,0,500,60.0,0.229,1.0,221
Ru,None,87.5,12.5,0,500,60.0,0.229,1.0,217
Ru,None,100.0,0.0,0,500,60.0,0.229,1.0,285
Ir,Co,75.0,25.0,270,25,0.0,0.5,1.0,329
Ir,Co,75.0,25.0,270,100,180.0,0.5,1.0,325
Ir,Co,75.0,25.0,270,200,180.0,0.5,1.0,260
Ir,Co,75.0,25.0,270,300,180.0,0.5,1.0,281
Ir,Co,75.0,25.0,270,400,180.0,0.5,1.0,354
Ir,Co,75.0,25.0,270,500,180.0,0.5,1.0,385
Ru,None,100.0,0.0,60,500,60.0,0.3,1.0,281
Ru,None,75.0,25.0,60,500,60.0,0.3,1.0,262
Ru,None,75.0,25.0,60,500,60.0,0.3,1.0,199
Ru,None,60.0,20.0,60,500,60.0,0.3,1.0,164
Ru,None,50.0,33.33333333,60,500,60.0,0.3,1.0,181
Ru,Ir,66.66666667,33.33333333,80,240,60.0,0.127,0.1,219
Ru,Ir,63.82978723,31.91489362,80,240,60.0,0.127,0.1,198
Ru,Ir,54.54545455,27.27272727,80,240,60.0,0.127,0.1,229
Ru,Ir,80.0,20.0,25,25,0.0,0.127,0.1,232
Ir,None,100.0,0.0,25,800,180.0,0.212,0.1,197
Ir,None,100.0,0.0,25,900,120.0,0.212,0.1,297
Co,None,100.0,0.0,80,800,120.0,0.1225,1.0,530
Co,Ir,82.33333333,17.66666667,25,300,60.0,0.1375,1.0,300
Ir,None,100.0,0.0,25,300,60.0,0.1,1.0,320
Ir,None,100.0,0.0,25,500,30.0,0.255,0.1,188
Ru,None,100.0,0.0,25,700,0.0,1.3307,1.0,189
Ru,None,80.0,20.0,25,930,0.0,1.6907,1.0,187
Ru,None,60.0,40.0,25,930,0.0,2.2907,1.0,199
Ru,Co,99.65123038,0.348769618,25,350,240.0,0.1,1.0,328
Ru,None,100.0,0.0,25,350,240.0,0.1,1.0,342
Co,None,100.0,0.0,25,350,240.0,0.1,1.0,600
Sr,Ir,88.85812487,11.14187513,150,700,360.0,0.283,1.0,300
Ru,None,100.0,0.0,280,400,60.0,0.0263,0.1,265
Ru,None,50.0,50.0,100,600,360.0,0.223,1.0,454
Co,None,50.0,50.0,100,600,360.0,0.201,1.0,808
Ir,None,100.0,0.0,25,900,60.0,0.178,0.1,271
Na,None,62.68790026,35.17142919,90,250,120.0,0.255,1.0,210
Na,None,62.68790026,35.17142919,90,350,120.0,0.255,1.0,262
Na,None,62.68790026,35.17142919,90,500,120.0,0.255,1.0,302
Na,None,62.68790026,35.17142919,90,700,120.0,0.255,1.0,388
Ru,None,100.0,0.0,25,500,300.0,0.2,0.1,250
Ru,None,100.0,0.0,25,350,300.0,0.1415,1.0,219
Ru,None,100.0,0.0,25,350,300.0,0.1415,1.0,163
Ru,None,100.0,0.0,25,350,300.0,0.1415,1.0,237
Ru,None,100.0,0.0,25,350,120.0,1.2,1.0,212
Co,Ru,89.79591837,10.20408163,25,350,120.0,1.2,1.0,492
Co,None,100.0,0.0,25,350,120.0,1.0,1.0,546
Ti,Ir,96.18320611,3.816793893,0,25,0.0,0.028,0.1,461
Ti,Ir,94.07114625,5.928853755,0,25,0.0,0.042,0.1,342
Ti,Ir,91.80327869,8.196721311,0,25,0.0,0.056,0.1,377
Ir,None,100.0,0.0,25,500,720.0,0.011,0.1,394
Ir,None,50.0,50.0,25,500,720.0,0.02173198,0.1,351
Ir,Co,50.0,50.0,25,500,720.0,0.046833898,0.1,356
Ir,None,33.33333333,33.33333333,25,500,720.0,0.057565878,0.1,330
Ir,Ni,50.0,50.0,25,500,720.0,0.046833898,0.1,357
Ir,None,33.33333333,33.33333333,25,500,720.0,0.057565878,0.1,335
Ir,None,50.0,50.0,25,500,720.0,0.044034375,0.1,400
Ir,None,33.33333333,33.33333333,25,500,720.0,0.054766355,0.1,376
Ir,None,100.0,0.0,95,400,300.0,0.045,1.0,741
Ir,None,100.0,0.0,25,25,0.0,0.13,1.0,290
Ru,None,90.90909091,9.090909091,25,300,180.0,0.8488,1.0,189
Ru,None,100.0,0.0,25,300,180.0,0.8488,1.0,185
Ru,None,90.90909091,9.090909091,25,300,240.0,0.8488,1.0,154
Ru,None,100.0,0.0,25,300,240.0,0.8488,1.0,167
Ru,Co,85.71428571,14.28571429,80,750,120.0,0.256,1.0,209
Ru,None,100.0,0.0,80,750,120.0,0.256,1.0,342
