composition,target
ScAg2,-0.2809
ScAg,-0.2715
Ag51Y14,-0.2301
YAg,-0.2778
Ag51La14,-0.2218
LaAg,-0.1752
Ag51Ce14,-0.2
CeAg,-0.1399
Ag51Pr14,-0.22899999999999998
PrAg,-0.2529
Ag51Nd14,-0.1834
NdAg,-0.2052
ZrAg,-0.0323
Zr2Ag,-0.0152
HfAg,-0.1113
Al0.67Ni0.17Y0.16,-0.5597
YAl2Ni,-0.6509
Al0.18Ni0.55Y0.27,-0.5027
Al0.8Ni0.15Y0.05,-0.37
Al0.6Ni0.07Y0.33,-0.5877
YAlNi,-0.5607
YAl3Ni2,-0.6509
Al0.25Ni0.58Y0.17,-0.5006
Al0.15Ni0.68Y0.17,-0.4902
Al0.05Ni0.78Y0.17,-0.3746
Al0.08Ni0.67Y0.25,-0.3928
HfAlNi2,-0.6032
Al0.82Fe0.09Ni0.09,-0.2674
Al0.72Fe0.14Ni0.14,-0.3804
Al0.18Fe0.07Ni0.75,-0.2933
AlFe2Ni,-0.2892
AlFeNi2,-0.3171
Al3Fe3Ni4,-0.3545
Al0.33Fe0.57Ni0.1,-0.256
Al2Fe3Ni,-0.3348
AlFeNi,-0.4084
Al3Fe2Ni4,-0.42700000000000005
Al2FeNi3,-0.4301
Al0.33Fe0.1Ni0.57,-0.45399999999999996
Al4Fe5Ni,-0.2933
Al2Fe2Ni,-0.3399
Al4Fe3Ni3,-0.3669
Al2FeNi2,-0.4436
Al4FeNi5,-0.5058
Al5Fe4Ni,-0.3089
Al2FeNi,-0.4612
Al5FeNi4,-0.4944
AlFe2,-0.2301
Al2Fe3,-0.2684
AlFe,-0.2747
AlNbNi,-0.4239
NbAlNi2,-0.4001
Al0.27Nb0.33Ni0.4,-0.4052
Al0.4Nb0.33Ni0.2,-0.4788
Al0.2Nb0.04Ni0.76,-0.2943
Al0.45Ni0.45Ru0.1,-0.5752
Al2Ni2Ru,-0.5349
Al5NiRu4,-0.6426
Al5Ni2Ru3,-0.6544
Al5Ni4Ru,-0.5794
Al5Ni3Ru2,-0.6374
Al0.45Ni0.1Ru0.45,-0.5816
Al0.45Ni0.35Ru0.2,-0.597
Al0.45Ni0.2Ru0.35,-0.5896
Al5CoNi4,-0.5618
Al0.5Co0.2Ni0.3,-0.5479999999999999
Al0.5Co0.3Ni0.2,-0.5348
Al5Co4Ni,-0.5304
AlCo,-0.5367
Al4CoNi5,-0.479
Al2CoNi2,-0.4578
Al4Co3Ni3,-0.4382
Al0.5Co0.05Ni0.45,-0.6051
Al2Co2Ni,-0.4353
Al4Co5Ni,-0.4213
Al2Co3,-0.3716
Al0.55Co0.1Ni0.35,-0.6093
Al0.52Co0.18Ni0.3,-0.5539
Al0.4Co0.05Ni0.55,-0.486
Al0.33Co0.2Ni0.47,-0.3758
Al0.25Co0.05Ni0.7,-0.3238
Al0.71Co0.25Ni0.04,-0.4208
AlCo,-0.5535
AlNi,-0.6405
Al0.5Cu0.05Ni0.45,-0.5815
Al5CuNi4,-0.5675
Al0.5Cu0.15Ni0.35,-0.426
Al5Cu2Ni3,-0.4033
Al2CuNi,-0.3319
Al5Cu3Ni2,-0.3106
Al2Ni3,-0.5317
Al4CuNi5,-0.5068
Al2CuNi2,-0.4315
Al0.4Cu0.25Ni0.35,-0.4059
Al4Cu3Ni3,-0.3888
Al2Cu2Ni,-0.3029
Al0.4Cu0.45Ni0.15,-0.3294
Al0.55Cu0.15Ni0.3,-0.4294
AlCu8Ni,-0.0685
Al3Cu5Ni2,-0.2953
Al5Ni4Pt,-0.7038
Al5Ni3Pt2,-0.7472
Al0.45Ni0.45Pt0.1,-0.6247
Al0.45Ni0.4Pt0.15,-0.6389
Al0.5Ni0.45Pt0.05,-0.6296
Al0.55Ni0.4Pt0.05,-0.6321
Al6Ni3Pt,-0.6692
Al3NiPt,-0.8191
Al6NiPt3,-0.9105
Al0.27Ni0.63Pt0.1,-0.5166
Al0.27Ni0.68Pt0.05,-0.4337
Al0.05Ni0.9Pt0.05,-0.1538
Al0.9Ni0.05Pt0.05,-0.1919
Al5Ni4Pd,-0.6777
Al5Ni3Pd2,-0.7476
Al5Ni2Pd3,-0.8079999999999999
Al5NiPd4,-0.9033
AlPd,-0.9457
Al4Ni5Pd,-0.5922
Al2Ni2Pd,-0.6382
Al4Ni3Pd3,-0.7154
Al2NiPd2,-0.7781
Al0.54Ni0.46,-0.6177
Al0.45Ni0.5Ti0.05,-0.6156
Al4Ni5Ti,-0.6229
Al0.45Ni0.55,-0.6053
Al0.4Ni0.55Ti0.05,-0.5882
Al0.5Ni0.42Ti0.08,-0.5721
Al3Ni5Ti2,-0.5599
TiAlNi2,-0.5783
Al2Ni5Ti3,-0.569
Al0.05Ni0.5Ti0.45,-0.4218
Al5Ni2Ti3,-0.4995
Al0.21Ni0.74Ti0.05,-0.2545
Al0.16Ni0.74Ti0.1,-0.3341
Al0.11Ni0.74Ti0.15,-0.4102
TiAl2Ni,-0.5
Al0.05Ni0.75Ti0.2,-0.3616
Al5IrNi4,-0.6227
Al5Ir2Ni3,-0.6825
Al5Ir4Ni,-0.8476
AlIr,-0.8875
AlIr,-0.9618
Al4IrNi5,-0.5559
Al2IrNi2,-0.6187
Al4Ir3Ni3,-0.6869
Al2Ir2Ni,-0.7747
ScAu,-0.7887
YAu,-0.8157
LaAu,-0.7245
Au51Ce14,-0.513
Au2Ce,-0.5959
CeAu,-0.6509
Au51Pr14,-0.569
PrAu2,-0.6654
PrAu,-0.7483
Au51Nd14,-0.511
Au2Nd,-0.7224
NdAu,-0.7276
TiAu2,-0.47600000000000003
TiAu,-0.4581
Ti3Au,-0.3253
ZrAu3,-0.5328
ZrAu2,-0.6322
Au4Zr5,-0.4887
Zr3Au,-0.3117
HfAu3,-0.5676
HfAu2,-0.6424
HfAu,-0.5911
Hf2Au,-0.4224
Au4V,-0.1015
Au2V,-0.1075
AuV4,-0.1009
Au2Nb,-0.1385
Au2Ta3,-0.2131
CeNi,-0.314
CeNi5,-0.2912
CeRu2,-0.2892
CeRh2,-0.6892
CeRh3,-0.5721
Ce5Rh4,-0.7307
CePd,-0.8115
CePd3,-0.7566
CeIr2,-0.7649
CePt,-1.0758
CePt2,-0.9390000000000001
CeCu6,-0.2166
CeCu6,-0.1047
CeCu2,-0.2197
CeCu2,-0.1534
TiCo,-0.428
ZrCo2,-0.371
ZrCo,-0.371
Zr2Co,-0.2736
HfCo2,-0.4084
HfCo,-0.4923
HfCo,-0.4436
Cu4Sc,-0.1451
ScCu2,-0.18
ScCu,-0.2161
Cu4Y,-0.1662
YCu2,-0.2021
YCu,-0.2004
LaCu6,-0.1027
LaCu2,-0.1675
PrCu6,-0.1171
Cu2Pr,-0.1503
Cu6Nd,-0.1378
NdCu2,-0.1752
CuTi,-0.0996
Cu3Zr,-0.1458
Cu3Zr2,-0.1276
CuZr,-0.0938
CuZr2,-0.1135
Cu4Hf,-0.1415
Cu3Hf2,-0.131
CuHf2,-0.1578
DyNi,-0.3648
DyNi5,-0.284
DyRu2,-0.2829
DyRh,-0.7929
DyRh2,-0.6457
Dy7Rh3,-0.5887
DyPd,-0.8633
Dy4Pd5,-0.8975
DyPd3,-0.7898
DyIr2,-0.7245
DyPt,-1.1338
DyPt2,-1.0167
DyPt3,-0.8582
ErNi,-0.4363
ErNi5,-0.3026
ErRu2,-0.2715
ErRh,-0.9058
ErRh2,-0.7234
ErPd,-0.9442
Er3Pd4,-0.9805
ErPd3,-0.9349
ErIr2,-0.7866
ErPt,-1.2302
ErPt2,-1.1173
ErPt3,-0.9701
ErIr,-0.8592
GdNi,-0.3099
GdNi5,-0.285
GdRu2,-0.2249
GdRh,-0.7504
GdRh2,-0.6778
GdPd,-0.8561
Gd3Pd4,-0.9172
GdPd3,-0.826
GdIr2,-0.71
GdPt,-1.1328
GdPt2,-1.0364
Hf2Ni7,-0.4571
HfNi,-0.6146
HfNi,-0.5006
HfNi3,-0.4954
HfPt,-1.1784
HfPd3,-0.9183
HfPd3,-0.9172
HfPd,-0.7203
HfPd,-0.6986
HfRh,-0.9929
HfIr,-1.0022
HoNi,-0.4322
HoNi5,-0.3099
HoRu2,-0.2778
HoRh,-0.9038
HoRh2,-0.7296
Ho3Rh2,-0.7607
HoPd,-0.9483
Ho3Pd4,-0.9763
HoPd3,-0.9058
HoIr2,-0.7711
HoPt,-1.2624
HoPt2,-1.1048
HoPt3,-0.9877
HoIr,-0.8364
LaIr2,-0.6519
LaIr3,-0.5151
PrIr2,-0.7328
TbIr2,-0.7317
LuIr,-0.8861
LuIr2,-0.7359
YIr,-0.6829999999999999
YIr2,-0.6156
ZrIr,-0.8882
TiIr,-0.8737
La3Ni,-0.1358
LaNi,-0.257
LaNi5,-0.2726
LaRu2,-0.1068
LaRh,-0.5835
LaRh2,-0.5959
LaPd,-0.7898
LaPd3,-0.7991
LaOs2,-0.0933
LaPt2,-0.9328
LaPt,-0.9545
LaPt,-1.0333
LuNi,-0.4902
LuNi5,-0.3109
LuRh2,-0.7058
Lu3Rh2,-0.6084
LuPd,-0.9442
LuPd,-0.9846
LuPd3,-0.9193
LuPt,-0.9390000000000001
LuPt,-1.2271
LuPt3,-0.9245
LuPt3,-1.0717
Lu3Pd4,-1.0198
NbPt3,-0.483
