composition,heusler type,num_electron,struct type,latt const,tetragonality,target
V2ScAl,Full Heusler,16,D022,5.49,1.561,0.0002
V2ScGa,Full Heusler,16,D022,5.43,1.5893,0.1775
V2ScIn,Full Heusler,16,D022,5.66,1.5583,0.1624
V2ScSi,Full Heusler,17,D022,5.34,1.5993,0.6638
V2ScGe,Full Heusler,17,D022,5.39,1.6104,0.7492
V2ScSn,Full Heusler,17,D022,5.66,1.5565,1.0025
V2ScP,Full Heusler,18,D022,5.18,1.6911,0.0001
V2ScAs,Full Heusler,18,D022,5.31,1.6742,0.0002
V2ScSb,Full Heusler,18,L21,6.5342,0.9988,4.1965
V2TiAl,Full Heusler,17,L21,6.16,1.0,0.7065
V2TiGa,Full Heusler,17,L21,6.1358,0.9952,0.6168
V2TiIn,Full Heusler,17,L21,6.3622,0.9998,0.6805
V2TiSi,Full Heusler,18,D022,5.8997,1.0590000000000002,0.0001
V2TiGe,Full Heusler,18,D022,5.18,1.6564,0.0002
V2TiSn,Full Heusler,18,D022,5.8782,1.2673,0.0002
V2TiP,Full Heusler,19,D022,5.04,1.6766,0.0
V2TiAs,Full Heusler,19,D022,5.1770000000000005,1.6492,0.0
V2TiSb,Full Heusler,19,L21,6.32,1.0,1.7344
V2VAl,Full Heusler,18,L21,6.03,1.0,0.0
V2VGa,Full Heusler,18,L21,6.03,1.0,0.0
V2VIn,Full Heusler,18,L21,6.25,1.0,0.0
V2VSi,Full Heusler,19,D022,5.72,1.1031,0.0
V2VGe,Full Heusler,19,D022,5.68,1.1761,0.0001
V2VSn,Full Heusler,19,D022,5.94,1.1599,0.0002
V2VP,Full Heusler,20,D022,5.41,1.2662,0.0
V2VAs,Full Heusler,20,D022,5.16,1.5659,0.0
V2VSb,Full Heusler,20,L21,6.24,1.0,2.013
V2CrAl,Full Heusler,19,L21,5.96,1.0,0.9835
V2CrGa,Full Heusler,19,D022,5.6588,1.1587,0.0
V2CrIn,Full Heusler,19,L21,6.21,1.0,1.4251
V2CrSi,Full Heusler,20,D022,5.568,1.1595,0.0001
V2CrGe,Full Heusler,20,D022,5.5191,1.2431,0.0
V2CrSn,Full Heusler,20,L21,6.24,1.0,1.865
V2CrP,Full Heusler,21,D022,5.0183,1.5324,0.7036
V2CrAs,Full Heusler,21,D022,5.1692,1.5030000000000001,0.6871
V2CrSb,Full Heusler,21,D022,5.4071,1.4828,0.8851
V2MnAl,Full Heusler,20,L21,5.96,1.0,1.466
V2MnGa,Full Heusler,20,D022,5.2009,1.4615,0.6602
V2MnIn,Full Heusler,20,L21,6.31,1.0,1.7014
V2MnSi,Full Heusler,21,D022,4.9331,1.652,1.6566
V2MnGe,Full Heusler,21,D022,5.3965,1.3275,1.1573
V2MnSn,Full Heusler,21,L21,6.32,1.0,1.492
V2MnP,Full Heusler,22,D022,4.9367,1.5977,1.815
V2MnAs,Full Heusler,22,D022,5.0731,1.5509,1.93
V2MnSb,Full Heusler,22,L21,6.28,1.0,0.9135
V2FeAl,Full Heusler,21,D022,4.9285,1.6927,1.5127
V2FeGa,Full Heusler,21,D022,5.0109,1.6379,1.6169
V2FeIn,Full Heusler,21,L21,6.21,1.0,0.9985
V2FeSi,Full Heusler,22,L21,5.86,1.0,1.2041
V2FeGe,Full Heusler,22,L21,5.96,1.0,0.8354
V2FeSn,Full Heusler,22,D022,5.2012,1.6185,2.016
V2FeP,Full Heusler,23,D022,4.9363,1.5625,1.4605
V2FeAs,Full Heusler,23,D022,4.9572,1.6374,1.3832
V2FeSb,Full Heusler,23,D022,5.1592,1.6446,1.4375
V2CoAl,Full Heusler,22,D022,4.8925,1.7232,0.0019
V2CoGa,Full Heusler,22,D022,4.9264,1.6825,0.0042
V2CoIn,Full Heusler,22,L21,6.2,1.0,3.7179
V2CoSi,Full Heusler,23,D022,4.8494,1.6761,0.0
V2CoGe,Full Heusler,23,D022,4.9455,1.6546,0.0707
V2CoSn,Full Heusler,23,D022,5.1370000000000005,1.6740000000000002,0.0912
V2CoP,Full Heusler,24,D022,4.8591,1.6121,0.0001
V2CoAs,Full Heusler,24,D022,4.9811,1.6124,0.0007
V2CoSb,Full Heusler,24,D022,5.1663,1.6342,0.0001
V2NiAl,Full Heusler,23,D022,4.9115,1.7241,0.0
V2NiGa,Full Heusler,23,D022,4.952,1.6784,0.0
V2NiIn,Full Heusler,23,D022,5.1417,1.6933,0.0
V2NiSi,Full Heusler,24,D022,4.9295,1.6188,0.0
V2NiGe,Full Heusler,24,D022,5.0215,1.6023,0.0
V2NiSn,Full Heusler,24,D022,5.1991,1.6346,0.0
V2NiP,Full Heusler,25,D022,4.9483,1.5557,0.0
V2NiAs,Full Heusler,25,D022,5.0667,1.557,0.0
V2NiSb,Full Heusler,25,D022,5.239,1.5891,0.0
Cr2ScAl,Full Heusler,18,L21,6.3429,1.0001,5.9142
Cr2ScGa,Full Heusler,18,L21,6.31,1.0,5.8512
Cr2ScIn,Full Heusler,18,L21,6.56,1.0,5.9213
Cr2ScSi,Full Heusler,19,L21,6.1227,1.0004,4.937
Cr2ScGe,Full Heusler,19,L21,6.21,1.0,4.9294
Cr2ScSn,Full Heusler,19,L21,6.47,1.0,4.9609
Cr2ScP,Full Heusler,20,L21,5.9823,1.0004,3.9738
Cr2ScAs,Full Heusler,20,L21,6.1469,0.9949,3.9852
Cr2ScSb,Full Heusler,20,L21,6.3895,0.9995,3.997
Cr2TiAl,Full Heusler,19,L21,6.096,1.0002,4.4399
Cr2TiGa,Full Heusler,19,L21,6.0763,1.0004,4.3226
Cr2TiIn,Full Heusler,19,L21,6.35,1.0,4.7330000000000005
Cr2TiSi,Full Heusler,20,L21,5.91,1.0,3.0466
Cr2TiGe,Full Heusler,20,L21,6.0,1.0,3.318
Cr2TiSn,Full Heusler,20,L21,6.2865,0.9988,3.8602
Cr2TiP,Full Heusler,21,L21,5.7976,1.0001,2.5318
Cr2TiAs,Full Heusler,21,L21,5.9565,1.0017,2.9461
Cr2TiSb,Full Heusler,21,L21,6.2179,0.9990000000000001,2.9913
Cr2VAl,Full Heusler,20,L21,5.93,1.0,2.6887
Cr2VGa,Full Heusler,20,L21,5.93,1.0,2.8109
Cr2VIn,Full Heusler,20,L21,6.25,1.0,3.7257
Cr2VSi,Full Heusler,21,L21,5.81,1.0005,2.8966
Cr2VGe,Full Heusler,21,L21,5.9082,1.0,2.9515
Cr2VSn,Full Heusler,21,L21,6.18,1.0,2.9765
Cr2VP,Full Heusler,22,L21,5.66,1.0,0.3656
Cr2VAs,Full Heusler,22,L21,5.84,1.0,1.7736
Cr2VSb,Full Heusler,22,L21,6.11,1.0,1.9941
Cr2CrAl,Full Heusler,21,L21,5.9114,1.0002,2.9205
Cr2CrGa,Full Heusler,21,L21,5.92,1.0,2.8754
Cr2CrIn,Full Heusler,21,L21,6.25,1.0,2.9604
Cr2CrSi,Full Heusler,22,L21,5.73,1.0,1.8813
Cr2CrGe,Full Heusler,22,L21,5.86,1.0,1.9746
Cr2CrSn,Full Heusler,22,L21,6.2051,0.9983,1.9997
Cr2CrP,Full Heusler,23,L21,5.6071,1.0028,0.0
Cr2CrAs,Full Heusler,23,L21,5.84,1.0,0.9754
Cr2CrSb,Full Heusler,23,L21,6.14,1.0,1.0
Cr2MnAl,Full Heusler,22,L21,5.9167,0.9999,1.9932
Cr2MnGa,Full Heusler,22,L21,5.9347,1.0013,1.9515
Cr2MnIn,Full Heusler,22,L21,6.27,1.0,2.0343
Cr2MnSi,Full Heusler,23,L21,5.78,1.0,0.9306
Cr2MnGe,Full Heusler,23,L21,5.91,1.0,0.9588
Cr2MnSn,Full Heusler,23,L21,6.21,1.0,0.9905
Cr2MnP,Full Heusler,24,L21,5.6774,0.9993,0.397
Cr2MnAs,Full Heusler,24,L21,5.85,1.0,0.0447
Cr2MnSb,Full Heusler,24,L21,6.13,1.0,0.0011
Cr2FeAl,Full Heusler,23,L21,5.8518,0.9991,4.9857
Cr2FeGa,Full Heusler,23,L21,5.89,1.0,0.8541
Cr2FeIn,Full Heusler,23,L21,6.16,1.0,0.9688
Cr2FeSi,Full Heusler,24,L21,5.7185,1.0021,0.7815
Cr2FeGe,Full Heusler,24,L21,5.84,1.0,0.1578
Cr2FeSn,Full Heusler,24,D022,5.0667,1.6458,1.0825
Cr2FeP,Full Heusler,25,L21,5.6248,0.9997,1.6627
Cr2FeAs,Full Heusler,25,L21,5.8006,0.9947,1.1509
Cr2FeSb,Full Heusler,25,L21,6.06,1.0,0.8395
Cr2CoAl,Full Heusler,24,L21,5.8919,0.9986,5.7597
Cr2CoGa,Full Heusler,24,L21,5.8906,1.001,5.7819
Cr2CoIn,Full Heusler,24,L21,6.1978,1.001,6.9038
Cr2CoSi,Full Heusler,25,D022,4.7767,1.6358,0.0
Cr2CoGe,Full Heusler,25,D022,4.8726,1.6211,0.0
Cr2CoSn,Full Heusler,25,L21,6.19,1.0,7.0093
Cr2CoP,Full Heusler,26,D022,5.5397,1.0331,0.4985
Cr2CoAs,Full Heusler,26,D022,4.9214,1.5768,0.5348
Cr2CoSb,Full Heusler,26,D022,5.1399,1.5723,0.7158
Cr2NiAl,Full Heusler,25,L21,6.0,1.0,6.686
Cr2NiGa,Full Heusler,25,L21,5.99,1.0,6.5147
Cr2NiIn,Full Heusler,25,L21,6.3,1.0,7.4137
Cr2NiSi,Full Heusler,26,D022,4.8237,1.6169,0.0
Cr2NiGe,Full Heusler,26,D022,4.9228,1.598,0.078
Cr2NiSn,Full Heusler,26,L21,6.27,1.0,7.093
Cr2NiP,Full Heusler,27,D022,5.4831,1.0761,0.0001
Cr2NiAs,Full Heusler,27,D022,5.0664,1.4838,1.7279
Cr2NiSb,Full Heusler,27,D022,5.178999999999999,1.5627,1.8940000000000001
Mn2ScAl,Full Heusler,20,L21,6.16,1.0,4.0054
Mn2ScGa,Full Heusler,20,D022,5.63,1.3677,5.4082
Mn2ScIn,Full Heusler,20,L21,6.52,1.0,5.9553
Mn2ScSi,Full Heusler,21,L21,5.9449,1.0011,2.9809
Mn2ScGe,Full Heusler,21,L21,6.04,1.0,2.9786
Mn2ScSn,Full Heusler,21,L21,6.48,1.0,5.6623
Mn2ScP,Full Heusler,22,L21,5.82,1.0,1.9888
Mn2ScAs,Full Heusler,22,L21,5.975,0.9998,1.9852
Mn2ScSb,Full Heusler,22,L21,6.2319,0.9996,1.9879
Mn2TiAl,Full Heusler,21,L21,5.95,1.0,2.9865
Mn2TiGa,Full Heusler,21,L21,5.94,1.0,2.9726
Mn2TiIn,Full Heusler,21,L21,6.22,1.0,3.1839999999999997
Mn2TiSi,Full Heusler,22,L21,5.77,1.0,1.9832
Mn2TiGe,Full Heusler,22,L21,5.87,1.0,1.9721
