composition,a,c,d_mx,d_ma,target
Sc2AlC,3.2969999999999997,15.04,1.242,2.517,88.0
Sc2AlN,3.217,14.53,1.2309999999999999,2.401,107.0
Sc2SiC,3.301,13.95,1.242,2.247,106.0
Sc2SiN,3.219,13.5,1.2309999999999999,2.1430000000000002,128.0
Sc2PC,3.365,12.77,1.25,1.944,121.0
Sc2PN,3.403,11.89,1.236,1.7369999999999999,137.0
Sc2SC,3.451,11.95,1.225,1.7630000000000001,126.0
Sc2SN,3.3680000000000003,11.79,1.192,1.755,141.0
Sc2GaC,3.306,14.7,1.24,2.4330000000000003,89.0
Sc2GaN,3.2319999999999998,14.11,1.23,2.298,110.0
Sc2GeC,3.324,14.06,1.235,2.279,103.0
Sc2GeN,3.2439999999999998,13.63,1.218,2.19,122.0
Sc2AsC,3.38,13.26,1.229,2.086,113.0
Sc2AsN,3.3760000000000003,12.55,1.216,1.921,131.0
Sc2CdC,3.324,15.63,1.23,2.678,73.0
Sc2CdN,3.248,15.12,1.217,2.563,92.0
Sc2InC,3.355,15.36,1.226,2.614,86.0
Sc2InN,3.279,14.9,1.202,2.524,102.0
Sc2SnC,3.38,14.87,1.2109999999999999,2.5069999999999997,93.0
Sc2SnN,3.306,14.48,1.1840000000000002,2.437,110.0
Sc2TlC,3.375,15.31,1.2209999999999999,2.6069999999999998,84.0
Sc2TlN,3.304,14.86,1.193,2.523,102.0
Sc2PbC,3.411,15.1,1.198,2.577,87.0
Sc2PbN,3.342,14.68,1.166,2.504,101.0
Ti2AlC,3.071,13.73,1.147,2.286,138.0
Ti2AlN,2.9989999999999997,13.63,1.165,2.2430000000000003,155.0
Ti2SiC,3.057,12.85,1.179,2.0340000000000003,169.0
Ti2SiN,2.99,12.83,1.188,2.019,183.0
Ti2PC,3.1910000000000003,11.5,1.166,1.71,187.0
Ti2PN,3.161,11.34,1.122,1.712,200.0
Ti2SC,3.208,11.27,1.1179999999999999,1.7,177.0
Ti2SN,3.202,11.06,1.051,1.715,181.0
Ti2GaC,3.083,13.43,1.143,2.215,139.0
Ti2GaN,3.016,13.33,1.1540000000000001,2.178,159.0
Ti2GeC,3.093,13.01,1.157,2.097,152.0
Ti2GeN,3.042,12.94,1.1540000000000001,2.081,167.0
Ti2AsC,3.195,12.12,1.138,1.892,169.0
Ti2AsN,3.201,11.72,1.0859999999999999,1.844,181.0
Ti2CdC,3.1060000000000003,14.54,1.127,2.509,116.0
Ti2CdN,3.082,14.15,1.088,2.45,130.0
Ti2InC,3.148,14.2,1.11,2.44,128.0
Ti2InN,3.095,14.05,1.111,2.401,138.0
Ti2SnC,3.18,13.79,1.111,2.335,135.0
Ti2SnN,3.18,13.46,1.045,2.32,136.0
Ti2TlC,3.177,14.22,1.0979999999999999,2.457,125.0
Ti2TlN,3.167,13.85,1.044,2.418,129.0
Ti2PbC,3.2310000000000003,14.01,1.08,2.423,119.0
Ti2PbN,3.239,13.65,0.998,2.415,121.0
V2AlC,2.9139999999999997,13.11,1.119,2.1590000000000003,175.0
V2AlN,2.877,13.13,1.122,2.16,180.0
V2SiC,2.965,11.96,1.114,1.8769999999999998,211.0
V2SiN,2.944,12.02,1.083,1.922,209.0
V2PC,3.0789999999999997,10.9,1.07,1.6540000000000001,227.0
V2PN,3.0460000000000003,11.03,1.038,1.72,229.0
V2SC,3.1239999999999997,10.76,1.012,1.679,199.0
V2GaC,2.9419999999999997,12.85,1.0979999999999999,2.114,175.0
V2GaN,2.9330000000000003,12.73,1.072,2.11,174.0
V2GeC,3.016,12.18,1.07,1.976,182.0
V2GeN,3.0069999999999997,12.1,1.035,1.989,194.0
V2AsC,3.113,11.42,1.04,1.8159999999999998,197.0
V2AsN,3.0839999999999996,11.52,1.011,1.868,203.0
V2CdC,2.995,13.85,1.048,2.414,120.0
V2CdN,2.9739999999999998,13.74,1.028,2.408,158.0
V2InC,3.03,13.59,1.053,2.345,158.0
V2InN,3.0410000000000004,13.33,1.001,2.332,154.0
V2SnC,3.133,12.92,0.98,2.251,138.0
V2SnN,3.138,12.74,0.924,2.261,143.0
V2TlC,3.115,13.44,0.981,2.379,119.0
V2TlN,3.159,12.98,0.884,2.362,140.0
V2PbC,3.2039999999999997,13.14,0.92,2.364,123.0
V2PbN,3.2060000000000004,12.98,0.867,2.378,122.0
Cr2AlC,2.8480000000000003,12.68,1.074,2.096,186.0
Cr2AlN,2.835,12.73,1.063,2.119,184.0
Cr2SiC,2.878,11.89,1.068,1.905,215.0
Cr2SiN,2.88,11.85,1.028,1.935,222.0
Cr2PC,3.002,10.88,1.0270000000000001,1.693,224.0
Cr2PN,2.995,10.94,1.037,1.6969999999999998,210.0
Cr2SC,3.111,10.47,0.9490000000000001,1.6680000000000001,192.0
Cr2GaC,2.875,12.5,1.06,2.066,185.0
Cr2GaN,2.91,12.29,0.995,2.077,166.0
Cr2GeC,2.9419999999999997,12.02,1.024,1.979,200.0
Cr2GeN,2.972,11.79,0.966,1.9809999999999999,191.0
Cr2AsC,3.042,11.38,0.9840000000000001,1.861,195.0
Cr2AsN,3.07,11.15,0.897,1.889,206.0
Cr2CdC,2.927,13.58,1.008,2.386,158.0
Cr2CdN,3.0039999999999996,13.2,0.924,2.375,139.0
Cr2InC,3.0260000000000002,13.05,0.963,2.299,127.0
Cr2InN,3.062,12.72,0.8909999999999999,2.289,156.0
Cr2SnC,3.102,12.54,0.9259999999999999,2.208,156.0
Cr2SnN,3.0869999999999997,12.45,0.89,2.221,163.0
Cr2TlC,3.093,13.16,0.9309999999999999,2.359,113.0
Cr2TlN,3.1069999999999998,12.8,0.868,2.331,146.0
Cr2PbC,3.161,12.85,0.889,2.324,133.0
Cr2PbN,3.153,12.78,0.8490000000000001,2.345,122.0
Mo2AlC,3.0380000000000003,13.48,1.207,2.162,196.0
Mo2SiC,3.1189999999999998,12.39,1.159,1.9380000000000002,225.0
Mo2PC,3.2,11.62,1.113,1.7930000000000001,225.0
Mo2PN,3.324,10.94,0.965,1.771,226.0
Mo2SN,3.34,10.96,0.955,1.785,204.0
Mo2GaC,3.0839999999999996,13.16,1.168,2.121,190.0
Mo2GaN,2.878,14.51,1.399,2.229,224.0
Mo2GeC,3.1489999999999996,12.64,1.131,2.028,212.0
Mo2AsC,3.225,12.17,1.082,1.959,209.0
Mo2AsN,3.342,11.47,0.95,1.9169999999999998,208.0
Mo2CdC,3.089,14.37,1.1420000000000001,2.45,162.0
Mo2CdN,2.9189999999999996,15.36,1.3430000000000002,2.498,185.0
Mo2InC,3.14,14.01,1.126,2.375,169.0
Mo2SnC,3.2030000000000003,13.52,1.095,2.285,184.0
Mo2TlC,3.1910000000000003,14.02,1.085,2.418,158.0
Mo2TlN,3.321,13.3,0.929,2.395,136.0
Mo2PbC,3.241,13.84,1.068,2.392,158.0
Mo2PbN,3.34,13.23,0.9440000000000001,2.364,141.0
Nb2AlC,3.125,13.91,1.238,2.239,173.0
Nb2AlN,3.009,14.38,1.349,2.247,194.0
Nb2SiC,3.233,12.38,1.197,1.899,209.0
Nb2SiN,3.242,12.15,1.146,1.891,213.0
Nb2PC,3.303,11.61,1.158,1.745,226.0
Nb2PN,3.2939999999999996,11.53,1.119,1.7630000000000001,219.0
Nb2SC,3.312,11.65,1.11,1.8030000000000002,197.0
Nb2SN,3.145,12.29,1.294,1.7790000000000001,223.0
Nb2GaC,3.153,13.59,1.214,2.1830000000000003,177.0
Nb2GaN,3.0069999999999997,14.32,1.355,2.226,198.0
Nb2GeC,3.259,12.6,1.166,1.985,192.0
Nb2GeN,3.2689999999999997,12.35,1.1179999999999999,1.969,200.0
Nb2AsC,3.339,12.0,1.129,1.87,204.0
Nb2AsN,3.322,11.97,1.091,1.901,205.0
Nb2CdC,3.175,14.65,1.183,2.479,148.0
Nb2CdN,3.176,14.4,1.1420000000000001,2.457,152.0
Nb2InC,3.196,14.47,1.188,2.43,159.0
Nb2InN,3.215,14.13,1.131,2.401,158.0
Nb2SnC,3.273,13.85,1.141,2.3209999999999997,162.0
Nb2SnN,3.282,13.6,1.088,2.311,164.0
Nb2TlC,3.235,14.47,1.157,2.46,149.0
Nb2TlN,3.313,13.75,1.044,2.394,112.0
Nb2PbC,3.313,14.1,1.11,2.414,142.0
Nb2PbN,3.386,13.51,0.993,2.384,128.0
Zr2AlC,3.333,14.59,1.2690000000000001,2.38,125.0
Zr2AlN,3.266,14.4,1.2819999999999998,2.319,141.0
Zr2SiC,3.3310000000000004,13.61,1.297,2.106,152.0
Zr2SiN,3.278,13.49,1.29,2.081,165.0
Zr2PC,3.467,12.25,1.2819999999999998,1.7790000000000001,174.0
Zr2PN,3.427,12.08,1.2329999999999999,1.786,183.0
Zr2SC,3.435,12.25,1.2329999999999999,1.83,165.0
Zr2SN,3.418,12.02,1.178,1.827,171.0
Zr2GaC,3.343,14.25,1.2670000000000001,2.295,128.0
Zr2GaN,3.283,14.04,1.272,2.238,145.0
Zr2GeC,3.346,13.82,1.281,2.173,146.0
Zr2GeN,3.304,13.64,1.266,2.144,156.0
Zr2AsC,3.484,12.67,1.263,1.905,161.0
Zr2AsN,3.46,12.41,1.21,1.893,171.0
Zr2CdC,3.345,15.36,1.255,2.585,105.0
Zr2CdN,3.3310000000000004,14.87,1.214,2.503,121.0
Zr2InC,3.3760000000000003,15.09,1.2409999999999999,2.531,119.0
Zr2InN,3.307,14.98,1.258,2.487,134.0
Zr2SnC,3.384,14.73,1.255,2.428,129.0
Zr2SnN,3.321,14.71,1.26,2.418,140.0
Zr2TlC,3.392,15.12,1.232,2.5469999999999997,117.0
Zr2TlN,3.332,14.98,1.24,2.504,129.0
Zr2PbC,3.418,14.95,1.229,2.51,117.0
Zr2PbN,3.3569999999999998,14.95,1.234,2.502,127.0
Hf2AlC,3.278,14.39,1.248,2.349,138.0
Hf2AlN,3.198,14.28,1.275,2.296,158.0
Hf2SiC,3.2769999999999997,13.42,1.274,2.082,167.0
Hf2SiN,3.217,13.34,1.2770000000000001,2.057,182.0
Hf2PC,3.4219999999999997,12.04,1.255,1.755,188.0
Hf2PN,3.3760000000000003,11.89,1.215,1.758,198.0
Hf2SC,3.383,12.06,1.205,1.811,179.0
Hf2SN,3.347,11.92,1.172,1.8090000000000002,186.0
Hf2GaC,3.2889999999999997,14.04,1.244,2.266,141.0
Hf2GaN,3.217,13.91,1.263,2.215,160.0
Hf2GeC,3.298,13.61,1.255,2.147,155.0
Hf2GeN,3.25,13.44,1.249,2.1109999999999998,170.0
Hf2AsC,3.4410000000000003,12.46,1.2329999999999999,1.88,175.0
Hf2AsN,3.4130000000000003,12.21,1.19,1.8630000000000002,183.0
