temperature_K,salt_conc,salt,PC,DEC,EC,EMC,EA,DME,Sulfolane,TFP,DMC,2-MeTHF,conductivity_S_cm
233.75,1.50862069,LiBF4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188235294
323.15,1.265420561,LiPF6,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,12.89142857
312.45,2.1265,LiPF6,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.568
243.65,1.4776,LiPF6,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7887
332.15,1.711559831,LiPF6,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.548996458
313.15,1.0,LiPF6,0.85,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.95
263.3090081,0.6,LiBOB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.792445294
292.65,1.51744414,LiBF4,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834868679
333.0,2.240215924,LiPF6,0.1,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.63,0.0,16.04908566
322.35,0.433430464,LiBOB,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.569536424
293.15,1.505755001,LiBF4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.024390244
312.45,0.450414813,LiBOB,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.281383666
298.15,1.0,LiClO4,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.555481444
263.15,0.777759793,LiBF4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.250782346
322.35,0.119047619,LiBOB,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.126566416
263.15,0.445829724,LiBF4,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.505321124
258.15,0.499993892,LiAsF6,0.32,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.712428999
253.35,0.278688525,LiBOB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592505855
292.65,0.404664555,LiBOB,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.109127555
277.4038553,0.2,LiBOB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.016779619
233.75,0.601886792,LiBOB,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,2.572102426
333.15,1.611214953,LiPF6,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,14.11047619
298.15,1.0,LiClO4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.867390051
