n_sites,space_group,volume,band_gap,ferroelectric
3,225,159.501207678,1.88,no
3,166,84.2980965532,3.52,no
3,164,108.33587516899999,1.17,no
4,186,88.162562026,1.12,no
6,136,82.8264012678,2.87,no
4,186,146.31155269299998,1.4,no
3,225,139.467818426,2.14,no
3,225,68.26890106729999,1.71,no
2,225,67.3095882287,2.15,no
3,225,98.597229912,2.02,no
2,225,55.784571766099994,0.12,yes
2,225,46.695124244700004,2.38,no
3,225,69.5378946656,2.5,no
3,164,77.9966094876,1.05,no
3,225,116.698690065,2.09,no
6,72,213.795473732,2.15,no
2,225,35.7434887297,2.76,no
3,164,119.46093351399999,2.42,no
6,186,204.88325531400002,2.94,yes
2,225,29.7575464199,0.15,no
3,225,45.157794439499995,0.97,no
4,129,75.28545173180001,0.41,no
4,187,38.7289646409,4.42,no
3,164,40.9922057139,1.6,no
3,225,103.981990274,2.32,no
2,216,28.9558083259,3.14,no
3,164,118.643076511,3.62,no
2,225,86.78051080680001,4.19,no
3,164,70.4227556857,1.25,no
3,225,70.9338407808,2.44,no
3,164,75.1136317601,5.57,no
3,164,69.3832905913,1.54,no
3,139,52.1468870527,2.23,no
3,225,43.7885475453,1.87,no
3,164,74.9463454114,0.83,no
3,225,20.2637521337,1.17,no
3,164,93.2083621977,1.6,no
3,225,54.5355754192,2.97,no
3,225,87.49726892790001,5.23,no
6,58,67.0381111474,0.64,no
3,225,41.425174546,2.9,no
4,191,44.8825668292,0.98,yes
4,194,42.1326017323,4.48,no
3,225,80.4777023717,2.02,no
4,12,60.1963443688,3.94,no
4,12,45.4173134206,3.64,no
2,216,21.0005908394,1.37,no
2,216,13.980547968900002,6.85,no
2,160,20.0020797757,4.39,no
2,216,23.4804813386,1.57,no
2,216,23.499701743400003,1.24,no
2,216,73.2195814191,1.37,no
5,164,133.474179494,0.22,no
2,216,69.0566604377,2.32,no
6,58,100.133223341,0.36,no
6,58,81.42106939930001,0.87,no
4,186,145.822681925,0.62,no
6,136,68.9778629217,4.8,no
4,194,43.677379746099994,4.16,no
6,72,189.62098689799998,3.07,no
2,225,104.957098894,3.78,no
6,194,131.151054179,1.23,yes
3,225,46.820714009899994,3.39,no
2,225,75.1479181309,4.84,no
2,225,53.051373588000004,2.08,no
8,140,139.379528874,4.16,no
8,194,69.8615203909,1.22,no
2,225,69.6750949167,3.53,no
2,216,52.4182174245,1.05,no
2,225,55.731537619499996,2.5,no
2,216,24.8184374856,0.63,no
2,221,84.0887507384,1.02,no
2,216,59.952805122700006,0.51,no
3,166,76.9298023956,5.62,no
2,216,54.0138230759,2.55,no
2,225,54.7485266625,4.09,no
2,225,65.4508697092,1.55,no
3,225,120.400478586,1.96,no
6,136,175.099416521,5.35,no
12,62,179.44991098900002,3.15,no
12,62,142.71732027299998,3.03,no
8,140,184.052007165,4.22,no
8,194,67.4796816976,1.97,no
10,156,104.887738378,1.75,no
12,60,120.562062681,3.63,no
8,140,158.43139513100002,4.17,no
16,198,133.930649312,4.33,no
8,141,225.90655204599997,1.87,no
8,194,117.63881263299999,0.7,no
12,62,225.39233221599997,2.87,no
10,167,105.430040065,1.53,no
8,176,419.248516628,2.68,yes
6,58,173.81388193200002,5.39,no
6,2,283.821027348,1.93,no
6,122,164.305885687,4.05,no
12,14,140.262134451,4.02,no
4,186,48.739906999700004,0.71,no
4,71,176.931871642,1.71,no
6,154,165.685768009,1.69,no
6,194,125.219740775,1.56,yes
4,186,42.0055039451,2.3,no
6,194,144.456546029,1.45,yes
6,12,254.55218694299998,0.27,no
4,12,111.4345837,0.26,no
4,129,92.4065715356,0.99,no
6,98,158.598820518,0.15,no
7,12,257.80867658,1.04,no
4,71,153.747367344,1.7,no
6,194,168.31758908,0.97,no
6,136,72.62339140659999,3.07,no
4,186,83.3947991784,1.3,no
4,186,118.488001162,1.1,no
6,58,205.72122416599998,4.53,no
6,194,148.112375589,1.42,yes
6,136,76.9424570154,3.24,no
6,136,73.4604470113,3.48,no
4,186,83.4378213072,1.96,no
4,186,94.80440992690001,1.2,no
6,186,244.11495056200002,2.37,yes
4,186,94.2439233584,1.69,no
7,166,81.5641330939,1.32,no
5,217,87.5788872376,7.72,no
6,15,102.95372147,0.46,no
6,15,182.173441899,1.58,no
6,136,79.662409587,2.25,no
7,229,107.444948009,5.78,yes
4,186,81.0743188498,2.08,no
6,58,68.6912778345,4.81,no
4,166,60.03513429270001,4.02,no
6,72,160.049382549,6.33,no
12,14,194.500184563,0.86,no
10,2,146.388796314,0.43,no
8,14,172.969006,2.05,no
8,138,255.07711036700002,1.69,no
8,12,282.011384225,4.93,no
10,36,321.527892854,1.32,no
10,36,358.540836244,0.67,no
10,36,407.937132191,0.74,no
10,12,96.47483644479999,4.46,no
12,96,183.244567195,5.51,yes
12,82,193.642011575,5.73,no
8,12,241.955317102,1.56,no
8,113,206.51021701,1.37,no
10,43,137.236190688,1.38,no
12,205,359.25818005,1.12,no
12,194,202.46482496299998,4.6,no
8,41,305.544819901,2.23,no
8,167,100.30530191700001,0.86,no
10,69,296.78123914099996,0.71,no
12,62,402.723991203,0.35,no
9,189,391.88047139099996,3.05,no
8,194,181.502093245,1.23,no
8,167,97.26408460360001,1.15,no
8,167,128.367453982,4.02,no
12,194,182.96308114,7.09,no
8,176,219.03583951,3.65,no
