Mo,Nb,Ta,W,sigma_T,x,y,reduced modulus,E_ROM,C11_ROM,C12_ROM,C44_ROM,shear_modulus_from_ROM,bulk_modulus_from_ROM,V_ROM,dV_ROM,a_ROM,b_ROM,hardness
16.2,33.9,37.3,12.6,0.856579393654127,-22.5,-40.5,107.54,210.057,319.2314,151.456,78.395,81.094859525743,622.1434,17.6591950011595,1.08967910215907,3.279637984,2.84024980936038,5.21
16.3,35.7,34.9,13.1,0.864382866668241,-18.0,-40.5,108.01,209.867,320.3851,151.206,77.821,81.1347235809058,622.7971,17.645506977775,1.09995058121495,3.27877712,2.83950427926717,5.11
16.1,37.8,32.4,13.8,0.866179745404331,-13.5,-40.5,113.82,209.431568431568,321.330369630369,150.963036963036,77.1658341658341,81.075697159762,623.256443556443,17.635473780651,1.10466207310265,3.27814935264735,2.83896061679211,5.31
15.0,40.1,30.6,14.3,0.84340958504988,-9.0,-40.5,113.59,207.144,320.001,150.522,75.999,80.2503411861906,621.045,17.6502608338203,1.08404849988391,3.27909155,2.83977658363489,5.16
15.3,41.6,28.7,14.5,0.848367472351596,-4.5,-40.5,118.49,206.787212787212,320.775324675324,150.217782217782,75.4155844155844,80.1956879792218,621.210889110889,17.6389006983557,1.09389624380814,3.27837518481518,2.83915619318645,5.23
14.2,44.5,27.1,14.1,0.804492904708167,0.0,-40.5,119.02,202.002002002001,317.024424424424,149.153153153153,73.2052052052052,78.3870233567778,615.33073073073,17.6721451528259,1.05812452142159,3.28047905705705,2.84097819999423,5.28
13.7,46.6,25.1,14.6,0.793956429079468,4.5,-40.5,122.9,200.695,316.838899999999,148.799999999999,72.32,77.9505396004415,614.438899999999,17.6736927160373,1.05181813788289,3.280582718,2.8410679730042,5.31
13.1,48.2,23.9,14.9,0.77851822608192,9.0,-40.5,121.86,199.202797202797,316.026673326673,148.483516483516,71.5294705294705,77.4088925764573,612.993706293706,17.6821072091709,1.03938865673203,3.28111899700299,2.84153240424431,5.31
11.9,50.1,22.4,15.6,0.759078106907848,13.5,-40.5,121.65,197.536,315.0923,148.248,70.707,76.8018877375419,611.5883,17.6952141293964,1.01833680745571,3.281956158,2.84225740693477,5.21
12.2,52.2,21.0,14.6,0.735848996572222,18.0,-40.5,120.95,194.014,312.6634,147.172,68.85,75.4787483004322,607.0074,17.7087055255232,1.00739755117622,3.28280376,2.84299145179907,5.21
10.9,54.4,19.4,15.3,0.711325132466138,22.5,-40.5,109.1,191.948,311.4093,146.854,67.848,74.7152862351473,605.1173,17.7248210192897,0.981895886293149,3.283831456,2.84388146264244,5.73
17.4,31.3,38.8,12.5,0.89429376869295,-27.0,-36.0,110.32,213.654,321.9338,152.182,80.059,82.4322732799478,626.2978,17.6327783388039,1.120299942714,3.277962786,2.83879904533601,5.56
16.8,33.5,36.3,13.4,0.892016270257439,-22.5,-36.0,113.06,213.039,322.6296,151.992,79.395,82.3036215849582,626.6136,17.6275027600641,1.11841496852309,3.277638044,2.83851781051433,5.36
16.6,35.2,34.2,14.0,0.894592449846126,-18.0,-36.0,115.83,212.726,323.4542,151.808,78.876,82.2762592465165,627.0702,17.6190306228586,1.12199868788014,3.277108084,2.83805885169134,5.27
16.2,38.1,31.9,13.7,0.869106841664968,-13.5,-36.0,118.04,209.153153153153,321.334734734734,150.826826826826,76.9369369369369,80.9887527930877,622.988388388388,17.633685283762,1.10672700942733,3.27803586186186,2.83886233088878,5.36
16.4,39.5,30.3,13.8,0.869083833904365,-9.0,-36.0,122.08,208.507,321.6628,150.495999999999,76.303,80.810087057248,622.6548,17.6269466306001,1.11217813080668,3.277611148,2.83849451789507,5.46
15.5,41.8,28.0,14.8,0.859415726394368,-4.5,-36.0,121.15,207.585414585414,321.927572427572,150.31968031968,75.5914085914086,80.535961811597,622.566933066933,17.6275359287951,1.10364577120436,3.2776584035964,2.83853544244203,5.38
13.9,44.4,26.9,14.9,0.812374478389515,0.0,-36.0,120.88,203.420579420579,318.413886113886,149.578421578421,73.8251748251748,78.9439918107143,617.570729270729,17.6636900778005,1.06268102700649,3.27994999000999,2.84052001449116,5.27
13.8,46.1,24.9,15.3,0.812898843837232,4.5,-36.0,123.19,202.801198801198,318.917682317682,149.298701298701,73.1768231768231,78.7787350160527,617.515084915084,17.6570683532282,1.06615818371068,3.27953552247752,2.840161075079,5.38
13.7,47.9,23.1,15.3,0.805349453513801,9.0,-36.0,121.43,201.217,318.4129,148.786,72.151,78.2264356272865,615.9849,17.6583071824146,1.06340738404385,3.279615616,2.84023043810415,5.21
13.6,49.2,21.8,15.4,0.800354449990412,13.5,-36.0,122.44,200.245999999999,318.211199999999,148.468,71.4879999999999,77.8928811946252,615.147199999999,17.6582266623168,1.06193429345363,3.279612428,2.84022767721516,5.09
12.0,51.8,20.3,15.9,0.76244919409745,18.0,-36.0,121.72,196.977,315.742,147.926,70.032,76.6566700033337,611.594,17.6858425632544,1.02602653397552,3.28136680999999,2.8417470165951,5.24
11.1,54.3,19.0,15.7,0.724788924807024,22.5,-36.0,107.79,193.207792207792,312.831868131868,147.096903096903,68.2817182817182,75.2218990452511,607.025674325674,17.7120120796807,0.995035873913879,3.28302365234765,2.84318188415823,5.9
10.4,56.2,17.5,15.8,0.705554878454026,27.0,-36.0,111.49,190.904904904904,311.392192192192,146.572572572572,67.1021021021021,74.3631055838355,604.537337337337,17.7251836017523,0.976826269532742,3.28386018418418,2.84390634197974,5.66
17.7,30.0,39.5,12.8,0.913607019571849,-31.5,-31.5,116.66,215.811,323.5909,152.708,81.086,83.2352414227291,629.0069,17.6193976362855,1.13301212202349,3.277117138,2.83806669268535,5.68
17.8,31.1,38.0,13.1,0.919003383475917,-27.0,-31.5,117.35,215.738,324.3606,152.554,80.741,83.2821610268369,629.4686,17.6102016069481,1.13953017653158,3.276538398,2.83756548914316,5.42
17.9,32.6,35.5,14.0,0.93640098597407,-22.5,-31.5,122.19,216.691,326.6223,152.588,80.644,83.7699889256289,631.798299999999,17.5880269497491,1.15423072401952,3.275143342,2.83635733520746,5.76
17.3,35.6,33.0,14.2,0.913101276194671,-18.0,-31.5,120.7,213.825174825174,325.258841158841,151.826173826173,78.998001998002,82.7672465425329,628.911188811188,17.5982593054632,1.14112364398866,3.27579506693306,2.83692174555578,5.38
17.1,37.0,31.3,14.7,0.914211874341211,-13.5,-31.5,124.28,213.530469530469,325.880819180819,151.676323676323,78.5664335664335,82.7243190453327,629.233466533466,17.5920247717479,1.14293337668787,3.27540567432567,2.83658452166573,5.33
15.9,39.9,29.2,15.0,0.882606494120288,-9.0,-31.5,128.41,210.167999999999,323.7083,150.963999999999,76.889,81.4927496244297,625.636299999999,17.6133234504117,1.11799203787481,3.276758938,2.83775648238571,5.74
15.3,41.3,27.8,15.5,0.876090101732727,-4.5,-31.5,125.38,209.324324324324,323.579679679679,150.794794794794,76.3463463463463,81.2142064691732,625.169269269269,17.6161374214302,1.11083913015363,3.27694249049049,2.83791544350541,5.35
14.8,43.6,26.3,15.3,0.848530928529969,0.0,-31.5,128.16,206.273,321.5136,150.034,74.802,80.0843837436488,621.5816,17.6326876839841,1.09371195111018,3.27799027,2.83882284717821,5.59
13.9,45.7,24.3,16.2,0.837393099025597,4.5,-31.5,126.25,205.290709290709,321.556743256743,149.864135864135,74.1238761238761,79.7700493974866,621.285014985014,17.6354711597706,1.08368198552753,3.27817541858141,2.83898319055319,5.2
13.6,47.4,22.8,16.2,0.825302520282772,9.0,-31.5,113.83,203.504,320.6672,149.372,73.102,79.1265496227404,619.4112,17.6416044682969,1.07590256580766,3.27856526,2.83932080312513,4.89
13.1,49.1,21.1,16.7,0.818039527523005,13.5,-31.5,129.39,202.536999999999,320.618699999999,149.125999999999,72.4269999999999,78.805779556134,618.870699999999,17.6426061622448,1.07042918099288,3.27863418399999,2.83938049306006,5.62
11.8,51.5,20.0,16.7,0.776987322703061,18.0,-31.5,126.93,198.733999999999,317.4906,148.402,70.769,77.3506015923599,614.2946,17.6736683476225,1.03488852089729,3.28060246199999,2.84108507180977,5.44
11.3,53.1,18.7,16.9,0.763269262641752,22.5,-31.5,112.45,197.173,316.6761,148.034,69.9149999999999,76.7808974338669,612.7441,17.681130099367,1.02405528408615,3.281077776,2.84149670580854,5.94
11.3,54.9,17.2,16.6,0.749808412564059,27.0,-31.5,113.75,195.04,315.5301,147.38,68.691,75.9947317881312,610.290099999999,17.6870342906158,1.01797236704874,3.281450574,2.84181955834702,5.72
9.8,57.2,16.4,16.6,0.703809026888675,31.5,-31.5,119.07,191.032,312.0146,146.676,67.036,74.4433959112559,605.3666,17.723012552527,0.9737719797619,3.28372996,2.84379356452805,5.78
19.0,27.3,40.8,12.8,0.958453626708668,-36.0,-27.0,119.52,219.89089089089,326.845845845845,153.515515515515,82.9089089089089,84.7662331607004,633.876876876876,17.5876758562135,1.16591767143098,3.27510698298298,2.83632584737507,5.54
19.1,29.4,38.4,13.2,0.957748086680679,-31.5,-27.0,120.14,219.165834165834,327.543156843156,153.132867132867,82.092907092907,84.6104240304757,633.808891108891,17.5775485185117,1.17157599560586,3.27447068731268,2.83577479916027,5.5
19.2,31.1,36.4,13.3,0.957941410120745,-27.0,-27.0,119.15,218.19,327.7364,152.71,81.261,84.3291773065527,633.1564,17.5717066630439,1.17501676421682,3.27410327,2.8354566064337,5.14
18.7,32.6,34.7,14.0,0.955795889798422,-22.5,-27.0,122.82,217.835,328.2519,152.62,80.852,84.2620625750402,633.4919,17.5684796681515,1.1724065470728,3.273905982,2.83528575001383,5.3
18.4,34.5,32.4,14.8,0.957097534491803,-18.0,-27.0,124.52,217.635364635364,329.287512487512,152.477522477522,80.3556443556443,84.2842828639117,634.242557442557,17.5588813853365,1.1746876951402,3.27330638961039,2.83476648777252,5.28
17.0,36.8,31.1,15.1,0.923363011515503,-13.5,-27.0,122.4,214.477,326.831,151.926,78.958,83.096777885788,630.683,17.585209277818,1.14686203999574,3.27497750199999,2.8362137135545,5.29
16.8,38.9,29.1,15.2,0.912770139737241,-9.0,-27.0,122.11,212.714999999999,326.265599999999,151.379999999999,77.829,82.4959737272068,629.025599999999,17.5873381188471,1.14272253526249,3.27511483999999,2.8363326517514,5.08
16.1,41.0,27.4,15.5,0.894590091958855,-4.5,-27.0,123.24,210.688,325.2057,150.914,76.726,81.7701197693876,627.0337,17.5973968097663,1.12967441170595,3.27575577999999,2.8368877220737,5.2
15.7,42.6,25.6,16.2,0.892713249921959,0.0,-27.0,123.14,210.370629370629,325.83906093906,150.803196803196,76.2947052947053,81.7138595045229,627.445454545454,17.5924397477451,1.12895420023552,3.27544889310689,2.83662195022818,5.33
15.2,44.6,24.0,16.3,0.875336700024637,4.5,-27.0,123.25,208.262737262737,324.683716283716,150.273726273726,75.1438561438561,80.9501056187145,625.231168831168,17.6019185966585,1.1177284116496,3.2760514065934,2.83714374221363,5.23
14.5,46.9,22.2,16.5,0.854237646182511,9.0,-27.0,124.52,205.851148851148,323.323176823176,149.702297702297,73.8541458541458,80.0706616992717,622.727772227772,17.6140502442161,1.10281965886044,3.27682291308691,2.83781188643619,5.36
13.6,47.9,21.5,17.0,0.841541589697443,13.5,-27.0,125.41,204.899,322.6632,149.632,73.451,79.7161046188284,621.9272,17.6243093831929,1.08838189528635,3.277477428,2.83837871297808,5.58
12.7,50.7,19.5,17.1,0.81132869941273,18.0,-27.0,113.71,201.569,320.5319,148.862,71.755,78.4798498803992,618.2559,17.6433373026812,1.06595395212187,3.27868508,2.83942457028901,5.85
