num_valence_electrons,lattice_const,tetragonality,formation_energy,polarization_fermi,heusler_type
16,5.49,1.561,0.046,0.1,Full Heusler
16,5.43,1.5893,-0.013999999999999999,36.93,Full Heusler
16,5.66,1.5583,0.191,34.28,Full Heusler
17,5.34,1.5993,-0.122,19.59,Full Heusler
17,5.39,1.6104,-0.087,10.09,Full Heusler
17,5.66,1.5565,0.032,45.39,Full Heusler
18,5.18,1.6911,-0.322,0.0,Full Heusler
18,5.31,1.6742,-0.162,0.0,Full Heusler
18,6.5342,0.9988,0.042,5.26,Full Heusler
17,6.16,1.0,-0.024,8.6,Full Heusler
17,6.1358,0.9952,-0.039,4.9,Full Heusler
17,6.3622,0.9998,0.205,18.85,Full Heusler
18,5.8997,1.0590000000000002,-0.253,0.03,Full Heusler
18,5.18,1.6564,-0.21899999999999997,0.02,Full Heusler
18,5.8782,1.2673,-0.013999999999999999,0.02,Full Heusler
19,5.04,1.6766,-0.49200000000000005,0.0,Full Heusler
19,5.1770000000000005,1.6492,-0.281,0.0,Full Heusler
19,6.32,1.0,-0.05,13.05,Full Heusler
18,6.03,1.0,-0.087,0.0,Full Heusler
18,6.03,1.0,-0.09699999999999999,0.0,Full Heusler
18,6.25,1.0,0.218,0.01,Full Heusler
19,5.72,1.1031,-0.307,0.0,Full Heusler
19,5.68,1.1761,-0.177,0.0,Full Heusler
19,5.94,1.1599,0.032,0.02,Full Heusler
20,5.41,1.2662,-0.42100000000000004,0.0,Full Heusler
20,5.16,1.5659,-0.222,0.0,Full Heusler
20,6.24,1.0,0.002,81.02,Full Heusler
19,5.96,1.0,-0.052000000000000005,91.93,Full Heusler
19,5.6588,1.1587,-0.051,0.0,Full Heusler
19,6.21,1.0,0.306,38.99,Full Heusler
20,5.568,1.1595,-0.248,0.0,Full Heusler
20,5.5191,1.2431,-0.10300000000000001,0.0,Full Heusler
20,6.24,1.0,0.132,71.38,Full Heusler
21,5.0183,1.5324,-0.37799999999999995,10.54,Full Heusler
21,5.1692,1.5030000000000001,-0.127,2.95,Full Heusler
21,5.4071,1.4828,0.10099999999999999,42.04,Full Heusler
20,5.96,1.0,-0.075,27.41,Full Heusler
20,5.2009,1.4615,-0.078,22.35,Full Heusler
20,6.31,1.0,0.244,34.48,Full Heusler
21,4.9331,1.652,-0.318,13.4,Full Heusler
21,5.3965,1.3275,-0.157,20.92,Full Heusler
21,6.32,1.0,0.071,48.97,Full Heusler
22,4.9367,1.5977,-0.47,42.86,Full Heusler
22,5.0731,1.5509,-0.221,40.59,Full Heusler
22,6.28,1.0,0.040999999999999995,44.8,Full Heusler
21,4.9285,1.6927,-0.147,12.82,Full Heusler
21,5.0109,1.6379,-0.129,28.24,Full Heusler
21,6.21,1.0,0.28800000000000003,41.86,Full Heusler
22,5.86,1.0,-0.255,18.92,Full Heusler
22,5.96,1.0,-0.128,27.75,Full Heusler
22,5.2012,1.6185,0.013999999999999999,31.81,Full Heusler
23,4.9363,1.5625,-0.494,44.8,Full Heusler
23,4.9572,1.6374,-0.235,25.94,Full Heusler
23,5.1592,1.6446,-0.027000000000000003,22.82,Full Heusler
22,4.8925,1.7232,-0.221,0.14,Full Heusler
22,4.9264,1.6825,-0.184,0.0,Full Heusler
22,6.2,1.0,0.313,63.65,Full Heusler
23,4.8494,1.6761,-0.42,0.0,Full Heusler
23,4.9455,1.6546,-0.264,0.29,Full Heusler
23,5.1370000000000005,1.6740000000000002,-0.05,3.77,Full Heusler
24,4.8591,1.6121,-0.5529999999999999,0.02,Full Heusler
24,4.9811,1.6124,-0.303,0.05,Full Heusler
24,5.1663,1.6342,-0.109,0.02,Full Heusler
23,4.9115,1.7241,-0.29100000000000004,0.0,Full Heusler
23,4.952,1.6784,-0.25,0.0,Full Heusler
23,5.1417,1.6933,0.052000000000000005,0.0,Full Heusler
24,4.9295,1.6188,-0.461,0.0,Full Heusler
24,5.0215,1.6023,-0.32299999999999995,0.0,Full Heusler
24,5.1991,1.6346,-0.139,0.0,Full Heusler
25,4.9483,1.5557,-0.556,0.0,Full Heusler
25,5.0667,1.557,-0.335,0.01,Full Heusler
25,5.239,1.5891,-0.16699999999999998,0.0,Full Heusler
18,6.3429,1.0001,0.11900000000000001,93.06,Full Heusler
18,6.31,1.0,0.138,88.23,Full Heusler
18,6.56,1.0,0.265,92.46,Full Heusler
19,6.1227,1.0004,-0.035,78.57,Full Heusler
19,6.21,1.0,0.049,78.76,Full Heusler
19,6.47,1.0,0.081,87.85,Full Heusler
20,5.9823,1.0004,-0.08800000000000001,95.99,Full Heusler
20,6.1469,0.9949,0.066,96.85,Full Heusler
20,6.3895,0.9995,0.083,98.13,Full Heusler
19,6.096,1.0002,-0.008,28.16,Full Heusler
19,6.0763,1.0004,0.016,39.51,Full Heusler
19,6.35,1.0,0.24100000000000002,68.08,Full Heusler
20,5.91,1.0,-0.252,15.92,Full Heusler
20,6.0,1.0,-0.114,18.73,Full Heusler
20,6.2865,0.9988,0.016,81.83,Full Heusler
21,5.7976,1.0001,-0.36200000000000004,5.2,Full Heusler
21,5.9565,1.0017,-0.136,65.11,Full Heusler
21,6.2179,0.9990000000000001,-0.033,86.72,Full Heusler
20,5.93,1.0,-0.055,31.65,Full Heusler
20,5.93,1.0,-0.02,6.48,Full Heusler
20,6.25,1.0,0.272,46.41,Full Heusler
21,5.81,1.0005,-0.28800000000000003,53.98,Full Heusler
21,5.9082,1.0,-0.115,83.36,Full Heusler
21,6.18,1.0,0.078,64.35,Full Heusler
22,5.66,1.0,-0.364,13.01,Full Heusler
22,5.84,1.0,-0.071,23.18,Full Heusler
22,6.11,1.0,0.10300000000000001,93.35,Full Heusler
21,5.9114,1.0002,-0.021,64.28,Full Heusler
21,5.92,1.0,0.035,46.04,Full Heusler
21,6.25,1.0,0.344,68.56,Full Heusler
22,5.73,1.0,-0.16899999999999998,41.4,Full Heusler
22,5.86,1.0,0.032,92.88,Full Heusler
22,6.2051,0.9983,0.239,99.84,Full Heusler
23,5.6071,1.0028,-0.201,0.0,Full Heusler
23,5.84,1.0,0.083,90.67,Full Heusler
23,6.14,1.0,0.265,99.93,Full Heusler
22,5.9167,0.9999,0.002,97.35,Full Heusler
22,5.9347,1.0013,0.04,89.59,Full Heusler
22,6.27,1.0,0.337,62.99,Full Heusler
23,5.78,1.0,-0.162,84.44,Full Heusler
23,5.91,1.0,-0.006999999999999999,92.23,Full Heusler
23,6.21,1.0,0.18100000000000002,95.76,Full Heusler
24,5.6774,0.9993,-0.268,41.82,Full Heusler
24,5.85,1.0,-0.006,80.55,Full Heusler
24,6.13,1.0,0.171,95.17,Full Heusler
23,5.8518,0.9991,0.099,82.06,Full Heusler
23,5.89,1.0,0.11,50.67,Full Heusler
23,6.16,1.0,0.45,53.19,Full Heusler
24,5.7185,1.0021,-0.134,5.54,Full Heusler
24,5.84,1.0,0.049,40.46,Full Heusler
24,5.0667,1.6458,0.292,47.51,Full Heusler
25,5.6248,0.9997,-0.223,13.2,Full Heusler
25,5.8006,0.9947,0.076,0.02,Full Heusler
25,6.06,1.0,0.29600000000000004,61.58,Full Heusler
24,5.8919,0.9986,0.125,75.95,Full Heusler
24,5.8906,1.001,0.162,79.2,Full Heusler
24,6.1978,1.001,0.47700000000000004,66.54,Full Heusler
25,4.7767,1.6358,-0.265,0.0,Full Heusler
25,4.8726,1.6211,-0.052000000000000005,0.0,Full Heusler
25,6.19,1.0,0.319,83.49,Full Heusler
26,5.5397,1.0331,-0.16,34.48,Full Heusler
26,4.9214,1.5768,0.013999999999999999,57.4,Full Heusler
26,5.1399,1.5723,0.22399999999999998,66.97,Full Heusler
25,6.0,1.0,0.153,66.55,Full Heusler
25,5.99,1.0,0.16899999999999998,68.79,Full Heusler
25,6.3,1.0,0.409,26.7,Full Heusler
26,4.8237,1.6169,-0.215,0.0,Full Heusler
26,4.9228,1.598,-0.031,7.82,Full Heusler
26,6.27,1.0,0.273,0.79,Full Heusler
27,5.4831,1.0761,-0.191,0.0,Full Heusler
27,5.0664,1.4838,0.043,69.21,Full Heusler
27,5.178999999999999,1.5627,0.215,65.14,Full Heusler
20,6.16,1.0,-0.111,88.78,Full Heusler
20,5.63,1.3677,-0.111,31.71,Full Heusler
20,6.52,1.0,0.055999999999999994,37.22,Full Heusler
21,5.9449,1.0011,-0.25,93.9,Full Heusler
21,6.04,1.0,-0.128,84.94,Full Heusler
21,6.48,1.0,-0.083,47.79,Full Heusler
22,5.82,1.0,-0.313,96.18,Full Heusler
22,5.975,0.9998,-0.11699999999999999,96.41,Full Heusler
22,6.2319,0.9996,-0.067,97.14,Full Heusler
21,5.95,1.0,-0.33799999999999997,75.34,Full Heusler
21,5.94,1.0,-0.28600000000000003,77.07,Full Heusler
21,6.22,1.0,-0.013000000000000001,12.55,Full Heusler
22,5.77,1.0,-0.535,93.46,Full Heusler
22,5.87,1.0,-0.35100000000000003,94.28,Full Heusler
22,6.13,1.0,-0.17,96.98,Full Heusler
23,5.6621,1.0001,-0.614,0.09,Full Heusler
23,5.82,1.0,-0.34600000000000003,70.55,Full Heusler
23,6.07,1.0,-0.214,88.3,Full Heusler
22,5.8019,0.9994,-0.31,98.05,Full Heusler
22,5.8044,1.001,-0.225,94.78,Full Heusler
22,6.25,1.0,0.09300000000000001,7.49,Full Heusler
23,5.65,1.0,-0.517,73.16,Full Heusler
23,5.75,1.0,-0.278,84.97,Full Heusler
23,6.01,1.0,-0.018000000000000002,93.53,Full Heusler
24,5.5664,0.9999,-0.5479999999999999,3.35,Full Heusler
24,5.7203,0.9994,-0.225,0.03,Full Heusler
24,5.9686,0.9999,-0.031,0.0,Full Heusler
23,5.72,1.0,-0.155,91.76,Full Heusler
23,5.4019,1.2832,-0.061,58.23,Full Heusler
23,6.31,1.0,0.243,53.3,Full Heusler
24,5.5899,0.9988,-0.327,0.04,Full Heusler
24,5.72,1.0,-0.063,95.68,Full Heusler
24,5.61,1.3316,0.092,88.95,Full Heusler
25,5.55,1.0,-0.335,87.89,Full Heusler
25,5.2188,1.4032,-0.055,13.48,Full Heusler
25,5.52,1.3623,0.10400000000000001,9.78,Full Heusler
24,5.3644,1.307,-0.136,55.07,Full Heusler
24,5.35,7.09,-0.10400000000000001,58.98,Full Heusler
24,5.6,1.3464,0.179,67.32,Full Heusler
25,5.64,1.0,-0.32799999999999996,95.93,Full Heusler
25,5.2882,1.3430000000000002,-0.14800000000000002,72.35,Full Heusler
25,5.5637,1.3377,0.033,85.16,Full Heusler
26,5.55,1.0,-0.39899999999999997,95.56,Full Heusler
26,5.71,1.0,-0.09699999999999999,92.89,Full Heusler
26,5.4041,1.4378,0.049,11.82,Full Heusler
25,5.2194,1.3645,-0.07200000000000001,29.28,Full Heusler
25,5.87,1.0,-0.036000000000000004,48.52,Full Heusler
25,6.16,1.0,0.23399999999999999,29.41,Full Heusler
26,5.599,1.0002,-0.265,25.04,Full Heusler
26,5.3788,1.2613,-0.057999999999999996,54.12,Full Heusler
26,5.75,1.2104,0.08800000000000001,32.05,Full Heusler
27,5.55,1.0,-0.294,44.63,Full Heusler
27,5.0395,1.4881,-0.02,22.65,Full Heusler
27,5.2938,1.4767,0.13,11.14,Full Heusler
26,5.89,1.0,-0.14400000000000002,4.85,Full Heusler
26,5.91,1.0,-0.086,28.99,Full Heusler
26,6.19,1.0,0.165,30.43,Full Heusler
27,4.8959,1.4978,-0.257,46.4,Full Heusler
27,5.86,1.0,-0.009000000000000001,56.26,Full Heusler
27,5.5362,1.3506,0.052000000000000005,44.8,Full Heusler
28,5.5092,0.9993,-0.23800000000000002,0.09,Full Heusler
28,5.1779,1.3982,-0.027999999999999997,34.13,Full Heusler
28,5.4292,1.4102,0.076,62.81,Full Heusler
27,5.92,1.0,-0.09699999999999999,50.48,Full Heusler
27,5.3911,1.3223,-0.098,52.97,Full Heusler
27,6.25,1.0,0.157,46.99,Full Heusler
28,5.1434,1.3706,-0.266,18.3,Full Heusler
28,5.2653,1.3665,-0.129,26.27,Full Heusler
28,5.4657,1.4094,-0.011000000000000001,49.61,Full Heusler
29,5.53,1.0,-0.261,0.0,Full Heusler
29,5.2002,1.4034,-0.096,13.81,Full Heusler
29,5.3953,1.4396,-0.008,49.95,Full Heusler
22,6.02,1.0,-0.19699999999999998,92.85,Full Heusler
22,6.01,1.0,-0.14,93.61,Full Heusler
22,6.37,1.0,0.039,56.37,Full Heusler
23,5.85,1.0,-0.387,91.16,Full Heusler
23,5.95,1.0,-0.24600000000000002,90.53,Full Heusler
23,6.2048,1.0005,-0.162,86.4,Full Heusler
24,5.75,1.0,-0.484,0.0,Full Heusler
24,5.9,1.0,-0.28800000000000003,0.0,Full Heusler
24,6.15,1.0,-0.253,0.0,Full Heusler
23,5.82,1.0,-0.465,88.76,Full Heusler
23,5.83,1.0,-0.377,87.03,Full Heusler
23,6.07,1.0,-0.059000000000000004,88.28,Full Heusler
24,5.685,1.0001,-0.706,0.0,Full Heusler
24,5.78,1.0,-0.494,0.0,Full Heusler
24,6.0338,1.0,-0.304,0.0,Full Heusler
25,5.65,1.0,-0.6,100.0,Full Heusler
25,5.8,1.0,-0.354,100.0,Full Heusler
25,6.04,1.0,-0.264,100.0,Full Heusler
24,5.6925,1.0001,-0.42700000000000005,0.0,Full Heusler
24,5.7084,1.0,-0.299,0.0,Full Heusler
24,5.9606,0.9999,0.107,0.0,Full Heusler
25,5.61,1.0,-0.489,81.91,Full Heusler
25,5.59,1.0698,-0.249,78.36,Full Heusler
25,5.98,1.0,-0.02,66.79,Full Heusler
26,5.181,1.2439,-0.414,0.0,Full Heusler
26,5.3037,1.253,-0.134,0.0,Full Heusler
26,5.99,1.0,0.01,66.39,Full Heusler
25,5.6599,1.0,-0.16699999999999998,95.02,Full Heusler
25,5.68,1.0,-0.033,100.0,Full Heusler
25,5.462000000000001,1.3928,0.302,87.34,Full Heusler
26,5.4678,1.0659,-0.266,99.38,Full Heusler
26,5.62,1.0409,-0.031,100.0,Full Heusler
