ASA [m^2/cm^3],NASA [m^2/cm^3],CellV [A^3],Df,Di,Dif,POAV [cm^3/g],POAVF,PONAV [cm^3/g],PONAVF,density [g/cm^3],total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric,CO2_uptake_16bar_mol_kg
302.027,0.0,1473.9,3.8322,5.17149,5.17149,0.106402,0.16512,0.0,0.0,1.55185,302.027,194.6238361,0.16512,0.106402,2.116359829
1001.73,0.0,1969.44,3.89264,5.48014,5.47915,0.350699,0.39068,0.0,0.0,1.114,1001.73,899.2190305,0.39068,0.350699,7.33064461
0.0,305.342,2848.64,2.93224,4.86988,4.86988,0.0,0.0,0.0883538,0.1669,1.889,305.342,161.6421387,0.1669,0.0883538,3.386230394
1440.96,0.0,4401.59,4.87179,7.47444,7.47444,0.37693,0.4271,0.0,0.0,1.1331,1440.96,1271.697114,0.4271,0.37693,9.269672506
583.524,0.0,1770.12,3.96901,4.9428,4.93448,0.165776,0.27054,0.0,0.0,1.63196,583.524,357.5602343,0.27054,0.165776,2.646453505
0.0,952.661,661.011,3.70819,4.57327,4.57327,0.0,0.0,0.392333,0.4125,1.0514,952.661,906.088073,0.4125,0.392333,9.60248879
0.0,983.685,29547.2,3.71325,7.69352,7.24448,0.0,0.0,0.265952,0.29584,1.11238,983.685,884.3066218,0.29584,0.265952,6.731470989
1840.9,11.0887,20455.9,4.60613,16.80237,8.84451,1.02061,0.60134,0.0153769,0.00906,0.589197,1851.9887,3143.241904,0.6104,1.0359869,19.92020779
1686.05,0.0,7584.62,10.11534,12.54469,12.54333,0.459657,0.6717,0.0,0.0,1.46131,1686.05,1153.793514,0.6717,0.459657,4.53395842
1933.05,0.0,20681.4,7.7515,19.92035,19.92035,1.86477,0.77602,0.0,0.0,0.416148,1933.05,4645.102223,0.77602,1.86477,25.68744551
1188.51,0.0,1312.35,4.27938,6.06928,6.06928,0.253349,0.40384,0.0,0.0,1.59401,1188.51,745.6101279,0.40384,0.253349,5.814135563
1053.7,354.619,3401.26,4.74188,9.14668,9.0851,0.345609,0.33892,0.138949,0.13626,0.980647,1408.319,1436.112077,0.47518,0.484558,9.798952584
0.0,169.006,2180.36,2.99196,4.36937,4.36937,0.0,0.0,0.0941672,0.14972,1.58994,169.006,106.297093,0.14972,0.0941672,4.341675999
0.0,80.1727,646.812,2.62537,4.11966,4.11701,0.0,0.0,0.122015,0.18666,1.52981,80.1727,52.40696557,0.18666,0.122015,3.859146825
439.773,12.9722,11774.7,5.67653,6.18293,6.18293,0.0788594,0.1171,0.0,0.0,1.48492,452.7452,304.8953479,0.1171,0.0788594,5.12878875
1275.98,0.0,830.079,4.56127,5.86586,5.86586,0.230241,0.3593,0.0,0.0,1.56054,1275.98,817.6528638,0.3593,0.230241,6.243140144
393.516,307.311,5483.22,3.84777,6.10947,5.97895,0.121767,0.1449,0.0990776,0.1179,1.18998,700.827,588.9401503,0.2628,0.2208446,5.649152249
735.691,238.779,6379.49,3.77167,6.50134,6.50134,0.290586,0.26846,0.0983052,0.09082,0.923858,974.47,1054.783311,0.35928,0.3888912,9.877523169
0.0,288.249,1171.63,3.63905,4.71712,4.71712,0.0,0.0,0.101536,0.15642,1.54053,288.249,187.1102802,0.15642,0.101536,1.973534646
1981.52,0.0,3256.95,6.71431,8.79152,8.77922,0.710599,0.60518,0.0,0.0,0.851648,1981.52,2326.688961,0.60518,0.710599,17.20755179
2035.74,0.0,10221.4,6.92043,8.9528,8.9528,0.833431,0.64886,0.0,0.0,0.77854,2035.74,2614.817479,0.64886,0.833431,18.44348402
1653.6,0.270171,11557.2,3.74031,10.80355,10.80323,0.6095,0.54978,0.0,0.0,0.902018,1653.870171,1833.522359,0.54978,0.6095,13.69764912
1307.09,0.0,2830.36,16.81333,16.8944,16.8944,1.07058,0.71958,0.0,0.0,0.672143,1307.09,1944.660586,0.71958,1.07058,17.76337462
1263.82,0.0,4916.49,4.52403,5.30653,5.30403,0.283786,0.38854,0.0,0.0,1.36913,1263.82,923.0825415,0.38854,0.283786,7.082195324
638.847,0.0,16242.5,3.80128,6.35889,6.35566,0.153738,0.2096,0.0,0.0,1.36336,638.847,468.5827661,0.2096,0.153738,3.809961187
0.0,531.922,2761.78,3.3526,5.59164,5.59164,0.0,0.0,0.154049,0.21432,1.39125,531.922,382.3338724,0.21432,0.154049,4.068333913
426.541,0.0,3549.87,5.8578,6.87873,6.87873,0.084372,0.13822,0.0,0.0,1.63822,426.541,260.3685708,0.13822,0.084372,2.38781735
0.0,56.4447,3194.55,2.93732,3.9371,3.9371,0.0,0.0,0.052148,0.08124,1.55788,56.4447,36.231738,0.08124,0.052148,2.29225819
641.292,0.0,831.048,4.36093,5.51379,5.51127,0.150633,0.2679,0.0,0.0,1.7785,641.292,360.5802643,0.2679,0.150633,2.36269943
1043.24,0.0,3315.32,4.20706,6.32021,6.31633,0.207879,0.35672,0.0,0.0,1.716,1043.24,607.9487179,0.35672,0.207879,5.175141806
1182.79,0.0,2653.7,4.72062,6.21678,6.15067,0.399891,0.397,0.0,0.0,0.992771,1182.79,1191.40265,0.397,0.399891,11.44410983
1444.2,0.0,27284.5,10.6456,11.06769,11.06769,0.379978,0.49812,0.0,0.0,1.31092,1444.2,1101.669057,0.49812,0.379978,8.016321336
1589.98,0.0,2626.57,4.22779,6.07797,6.07163,0.417511,0.54624,0.0,0.0,1.30832,1589.98,1215.283723,0.54624,0.417511,4.916032838
1895.91,0.0,18337.1,6.67449,13.23241,13.23241,0.745984,0.65378,0.0,0.0,0.876399,1895.91,2163.295485,0.65378,0.745984,14.59666059
0.0,113.841,3246.75,3.08769,4.08249,4.08249,0.0,0.0,0.0677441,0.10384,1.53283,113.841,74.26850988,0.10384,0.0677441,2.942465441
1999.5,0.0,4589.5,5.3119,10.2017,10.10967,0.777171,0.60154,0.0,0.0,0.774012,1999.5,2583.293282,0.60154,0.777171,15.27857198
0.0,175.3,2158.6,3.09524,4.05561,4.05434,0.0,0.0,0.140967,0.16834,1.19418,175.3,146.7952905,0.16834,0.140967,5.168734154
1582.89,0.0,17700.7,5.76129,9.22988,9.22988,0.595734,0.47494,0.0,0.0,0.797235,1582.89,1985.474797,0.47494,0.595734,12.77961306
841.661,0.0,8483.18,3.79902,7.06378,6.71051,0.209187,0.2753,0.0,0.0,1.31604,841.661,639.5405915,0.2753,0.209187,4.3894637
1429.17,0.0,14194.5,25.54914,27.20941,27.20941,2.44338,0.82838,0.0,0.0,0.339031,1429.17,4215.455224,0.82838,2.44338,20.15009643
0.0,212.527,2785.46,2.66514,4.45326,4.20137,0.0,0.0,0.114513,0.15324,1.33819,212.527,158.81676,0.15324,0.114513,3.431135089
0.0,247.865,1456.47,3.53737,4.88753,4.88753,0.0,0.0,0.0934148,0.1467,1.57042,247.865,157.8335732,0.1467,0.0934148,1.982780843
0.0,194.767,1480.35,3.30829,4.79448,4.79412,0.0,0.0,0.0693236,0.1007,1.45261,194.767,134.0807237,0.1007,0.0693236,3.467604701
769.308,78.6852,9078.18,3.81132,6.0927,5.65916,0.247369,0.2643,0.0368199,0.03934,1.06844,847.9932,793.6741417,0.30364,0.2841889,8.904850493
1983.62,0.0,26872.0,7.63115,21.77624,21.77624,1.73419,0.78478,0.0,0.0,0.452533,1983.62,4383.370936,0.78478,1.73419,27.58281111
1111.52,0.0,2338.56,6.25511,7.40475,7.40475,0.344178,0.37702,0.0,0.0,1.09542,1111.52,1014.697559,0.37702,0.344178,7.493409237
476.333,0.0,2488.86,4.36352,7.08125,7.08125,0.0924618,0.19936,0.0,0.0,2.15613,476.333,220.9203527,0.19936,0.0924618,3.810355016
886.826,1.01718,2498.59,3.9288,5.58762,5.58156,0.309718,0.33236,0.0,0.0,1.07311,887.84318,827.3552385,0.33236,0.309718,8.832159836
1949.66,0.0,7703.79,4.11514,8.9304,8.89727,0.53211,0.59156,0.0,0.0,1.11173,1949.66,1753.71718,0.59156,0.53211,12.09188414
0.0,158.054,2685.88,2.43656,4.80408,4.80408,0.0,0.0,0.0597814,0.08326,1.39274,158.054,113.484211,0.08326,0.0597814,3.792026207
0.0,658.157,1494.67,3.48033,4.66636,4.66636,0.0,0.0,0.324178,0.33696,1.03943,658.157,633.1903062,0.33696,0.324178,8.160645052
0.0,804.144,8323.83,2.55142,6.83757,6.83757,0.0,0.0,0.206527,0.31352,1.51806,804.144,529.718193,0.31352,0.206527,7.648539856
1460.43,0.0373812,8520.91,4.01926,8.87095,8.86551,0.484552,0.48398,0.0,0.0,0.99882,1460.467381,1462.192769,0.48398,0.484552,11.48215624
1041.53,4.21696,4698.11,7.43537,8.62108,8.53874,0.17271,0.35656,0.0,0.0,2.06451,1045.74696,506.5351875,0.35656,0.17271,5.303847506
0.0,508.742,11057.0,2.78326,6.85669,6.85469,0.0,0.0,0.174276,0.21398,1.22782,508.742,414.345751,0.21398,0.174276,5.163844254
921.253,0.0,2827.79,7.15006,8.32795,8.32795,0.199169,0.3043,0.0,0.0,1.52785,921.253,602.9734594,0.3043,0.199169,3.741766676
1958.01,35.0911,18704.8,5.70388,7.44729,7.44729,0.574281,0.50754,0.0191902,0.01696,0.883784,1993.1011,2255.190295,0.5245,0.5934712,12.75039793
1366.33,0.0,1415.26,6.65574,7.06313,7.06313,0.483546,0.46764,0.0,0.0,0.967105,1366.33,1412.804194,0.46764,0.483546,11.27126294
1614.64,0.0126194,17331.8,7.91648,8.46136,8.46136,0.390449,0.47352,0.0,0.0,1.21276,1614.652619,1331.38677,0.47352,0.390449,8.509865627
0.0,96.5169,4571.86,2.92855,4.09909,4.09909,0.0,0.0,0.053495,0.10852,2.0286,96.5169,47.57808341,0.10852,0.053495,3.586394922
2277.37,0.0,19189.0,6.84234,12.36127,12.36007,1.54486,0.76108,0.0,0.0,0.492653,2277.37,4622.665446,0.76108,1.54486,25.23683272
0.0,1263.95,2452.2,3.43919,11.51766,11.5088,0.0,0.0,0.521545,0.48226,0.924676,1263.95,1366.911221,0.48226,0.521545,8.889032542
0.0,451.051,2893.07,2.54565,4.88935,4.88803,0.0,0.0,0.166315,0.25108,1.50967,451.051,298.7745666,0.25108,0.166315,3.275472638
633.046,41.912,5374.66,4.2399,5.00227,4.99534,0.214932,0.23728,0.0306165,0.0338,1.10398,674.958,611.3860758,0.27108,0.2455485,6.61035425
562.63,0.0,6909.52,3.94634,5.10257,4.56846,0.0692091,0.21878,0.0,0.0,3.16115,562.63,177.9826962,0.21878,0.0692091,2.055017664
1012.36,0.0,2846.09,5.22739,6.155,6.12328,0.196802,0.31648,0.0,0.0,1.60811,1012.36,629.5340493,0.31648,0.196802,4.336322743
1061.46,0.0,38659.6,21.60719,23.03533,23.02579,5.35296,0.9123,0.0,0.0,0.170429,1061.46,6228.165394,0.9123,5.35296,21.79538939
0.0,442.657,1929.09,3.15004,5.96521,5.78672,0.0,0.0,0.105505,0.20544,1.9472,442.657,227.3300123,0.20544,0.105505,2.824262427
1225.29,0.0,3269.71,4.40705,5.03229,5.03229,0.402406,0.35896,0.0,0.0,0.892035,1225.29,1373.589601,0.35896,0.402406,7.430979695
520.764,0.0,1611.5,4.55019,5.31461,5.31461,0.151189,0.19556,0.0,0.0,1.29348,520.764,402.6069209,0.19556,0.151189,2.847568267
0.0,108.031,1439.75,3.08281,3.98226,3.98226,0.0,0.0,0.0737576,0.13742,1.86313,108.031,57.98360823,0.13742,0.0737576,4.80189205
0.0,95.6269,6126.36,2.99907,4.23143,4.2313,0.0,0.0,0.048106,0.0732,1.52164,95.6269,62.84462816,0.0732,0.048106,3.904224052
1246.22,0.0,878.464,6.02741,7.30876,7.30876,0.281759,0.38174,0.0,0.0,1.35485,1246.22,919.8213824,0.38174,0.281759,8.087804098
0.0,343.189,12878.0,3.27077,5.07008,4.57111,0.0,0.0,0.125146,0.14226,1.13676,343.189,301.9010169,0.14226,0.125146,3.133916068
857.167,0.0,1933.36,5.15328,5.6025,5.59565,0.171433,0.29558,0.0,0.0,1.72417,857.167,497.1476131,0.29558,0.171433,4.346302667
1519.61,0.0,4990.63,4.74827,7.60143,7.06612,0.441133,0.45488,0.0,0.0,1.03116,1519.61,1473.689825,0.45488,0.441133,10.09799499
0.0,366.247,4509.4,3.69297,5.24244,5.19683,0.0,0.0,0.130641,0.15918,1.21845,366.247,300.584349,0.15918,0.130641,3.407116658
1002.01,0.0,6547.91,4.52304,6.18548,6.11894,0.296517,0.33118,0.0,0.0,1.1169,1002.01,897.134927,0.33118,0.296517,6.221099557
0.0,897.191,15818.6,3.45436,6.90856,6.69822,0.0,0.0,0.234462,0.26952,1.14952,897.191,780.4918575,0.26952,0.234462,5.283731083
1264.24,0.0,2521.45,8.14175,8.72919,8.68787,0.373397,0.4187,0.0,0.0,1.12133,1264.24,1127.446871,0.4187,0.373397,7.523237685
1492.32,0.0,23192.2,9.93166,12.5506,12.1307,0.68653,0.5588,0.0,0.0,0.813948,1492.32,1833.434077,0.5588,0.68653,12.68080338
1261.7,0.0,3055.85,4.04573,4.96323,4.95818,0.312015,0.34798,0.0,0.0,1.11527,1261.7,1131.295561,0.34798,0.312015,6.039631012
0.0,633.725,1168.62,3.64144,4.92196,4.91649,0.0,0.0,0.269309,0.36124,1.34136,633.725,472.4496034,0.36124,0.269309,4.377202507
0.0,347.932,3078.82,3.07966,4.8231,4.81833,0.0,0.0,0.121254,0.17724,1.46172,347.932,238.0291711,0.17724,0.121254,2.946708128
360.027,0.0,3901.19,3.72635,4.38797,4.38797,0.129998,0.16876,0.0,0.0,1.29817,360.027,277.3342474,0.16876,0.129998,3.092367475
0.0,603.627,4638.24,3.23782,5.99146,5.98811,0.0,0.0,0.228995,0.23142,1.01059,603.627,597.3015763,0.23142,0.228995,6.025220541
0.0,192.049,1244.47,3.31506,4.54949,4.54949,0.0,0.0,0.092299,0.13534,1.46632,192.049,130.9734574,0.13534,0.092299,1.828043846
1577.15,0.0,15648.4,5.90829,8.29808,8.29808,0.340986,0.45802,0.0,0.0,1.34322,1577.15,1174.156132,0.45802,0.340986,6.582454768
0.0,450.005,1634.52,3.6521,4.84681,4.84681,0.0,0.0,0.132892,0.2518,1.89478,450.005,237.4972292,0.2518,0.132892,2.294730416
0.0,246.198,1106.54,3.00887,4.69523,4.68206,0.0,0.0,0.0759893,0.13158,1.73156,246.198,142.1827716,0.13158,0.0759893,4.178301223
943.771,0.165958,10543.3,4.80683,7.51192,7.47729,0.278628,0.3011,0.0,0.0,1.08065,943.936958,873.4899903,0.3011,0.278628,7.026015876
0.0,1078.8,4374.89,3.39362,5.67831,5.64059,0.0,0.0,0.234256,0.38604,1.64794,1078.8,654.6354843,0.38604,0.234256,4.605141543
1112.8,0.0,3929.72,3.78301,5.39674,5.31113,0.53584,0.44718,0.0,0.0,0.83454,1112.8,1333.429195,0.44718,0.53584,12.11805806
640.785,0.0,2622.66,3.88542,4.71415,4.71415,0.141756,0.25348,0.0,0.0,1.78814,640.785,358.3528135,0.25348,0.141756,4.096569178
2316.19,0.143707,44137.2,7.15132,15.60203,15.60203,1.23013,0.7181,0.0,0.0,0.583758,2316.333707,3967.969102,0.7181,1.23013,21.97533397
1961.74,0.0,19656.8,5.24663,16.39645,16.39644,0.844191,0.60558,0.0,0.0,0.717349,1961.74,2734.707932,0.60558,0.844191,16.67211615
0.0,190.408,1884.96,2.87156,4.85133,4.8303,0.0,0.0,0.0984186,0.1627,1.65314,190.408,115.1795976,0.1627,0.0984186,3.874009539
2102.57,0.0,5364.58,5.53828,7.03754,7.03754,0.589842,0.54862,0.0,0.0,0.930114,2102.57,2260.550857,0.54862,0.589842,11.74776216
0.0,793.529,3379.23,3.45515,5.66983,5.06856,0.0,0.0,0.127869,0.29706,2.32316,793.529,341.5731159,0.29706,0.127869,4.392683451
0.0,443.905,8144.91,3.36538,6.31143,6.31143,0.0,0.0,0.143893,0.17812,1.23786,443.905,358.6067891,0.17812,0.143893,5.036316223
0.0,45.9534,1036.6,2.7608,3.96918,3.96917,0.0,0.0,0.0606705,0.13412,2.21063,45.9534,20.78746783,0.13412,0.0606705,1.760944623
698.043,0.0,2499.77,3.90525,6.71056,6.68671,0.186956,0.22336,0.0,0.0,1.19472,698.043,584.2733025,0.22336,0.186956,3.440354533
1488.66,0.0,1327.89,10.52946,11.30625,11.30625,0.50599,0.58046,0.0,0.0,1.14718,1488.66,1297.669067,0.58046,0.50599,11.29820296
0.0,532.862,8642.01,2.64485,5.57315,5.55209,0.0,0.0,0.127817,0.22398,1.75235,532.862,304.0842297,0.22398,0.127817,3.523885405
0.0,1047.19,23506.4,2.90995,15.25766,15.21158,0.0,0.0,0.355155,0.36562,1.02947,1047.19,1017.212741,0.36562,0.355155,6.972640176
1529.36,0.0,1678.67,4.88151,6.1601,6.1601,0.447737,0.42946,0.0,0.0,0.959179,1529.36,1594.446918,0.42946,0.447737,9.409553607
0.0,181.067,4184.14,3.40564,4.48328,4.05023,0.0,0.0,0.128136,0.13448,1.04951,181.067,172.5252737,0.13448,0.128136,5.362871252
0.0,217.621,704.824,3.46478,4.34496,4.34496,0.0,0.0,0.168154,0.27992,1.66467,217.621,130.7292136,0.27992,0.168154,6.575219794
866.059,0.0,1754.71,4.39102,6.22291,6.19993,0.125183,0.26588,0.0,0.0,2.12393,866.059,407.7624969,0.26588,0.125183,4.927892138
2115.06,0.0,3524.44,8.90439,11.42925,11.42684,0.74886,0.72528,0.0,0.0,0.968512,2115.06,2183.824258,0.72528,0.74886,13.66610973
818.429,0.0,3223.84,6.65101,7.16555,7.16555,0.205337,0.26466,0.0,0.0,1.28891,818.429,634.9776167,0.26466,0.205337,3.847100645
2013.67,0.0,9322.85,7.42068,13.9402,13.92619,1.11088,0.70378,0.0,0.0,0.633535,2013.67,3178.466857,0.70378,1.11088,19.92117097
2071.97,0.0,9502.46,9.90606,13.79678,13.29749,1.44486,0.7858,0.0,0.0,0.543859,2071.97,3809.755837,0.7858,1.44486,25.81564841
851.616,0.0,1358.02,4.21049,5.58529,5.58529,0.189411,0.32874,0.0,0.0,1.73559,851.616,490.6780979,0.32874,0.189411,6.400366785
2351.12,0.0,2413.2,4.20025,5.23856,5.23856,0.623555,0.58302,0.0,0.0,0.934994,2351.12,2514.582981,0.58302,0.623555,11.88588891
1759.38,121.587,5131.97,5.62136,12.35154,12.35154,0.609221,0.56268,0.0564959,0.05218,0.923606,1880.967,2036.546969,0.61486,0.6657169,13.74877658
0.0,451.913,3183.89,3.15351,7.2946,7.29112,0.0,0.0,0.121854,0.18938,1.55416,451.913,290.7763679,0.18938,0.121854,4.731251198
1464.89,0.0,8493.66,3.99201,8.74499,8.31175,0.481274,0.4862,0.0,0.0,1.01024,1464.89,1450.041574,0.4862,0.481274,11.58077509
