MolWeight,HBondDonors,Rings,RotatableBonds,PolarSurfaceArea,MinDegree,measured_logS
457.4320000000001,7,3,7,202.31999999999996,1,-0.77
201.225,1,2,2,42.24,1,-3.3
152.237,0,0,4,17.07,1,-2.06
278.354,0,5,0,0.0,2,-7.87
84.14299999999999,0,1,0,0.0,2,-1.33
135.191,0,2,0,12.89,2,-1.5
326.437,0,2,1,0.0,1,-7.32
272.388,2,4,0,40.46,1,-5.03
380.913,0,5,0,12.53,1,-6.29
394.42300000000023,0,5,3,63.22,1,-4.42
85.10600000000001,1,1,0,29.1,1,1.07
162.61899999999997,0,2,0,0.0,1,-4.14
70.135,0,0,2,0.0,1,-2.68
218.256,2,2,2,58.2,1,-2.64
198.39399999999995,0,0,11,0.0,1,-7.96
78.542,0,0,0,0.0,1,-1.41
88.14999999999999,1,0,2,20.23,1,-0.47
103.12399999999997,0,1,0,23.79,1,-1.0
304.35200000000003,0,1,7,53.47,1,-3.64
172.312,1,0,8,20.23,1,-2.94
326.437,0,2,1,0.0,1,-7.43
234.29899999999995,1,3,1,54.86,1,-4.593999999999999
260.38599999999997,0,0,8,18.46,1,-4.11
179.219,1,1,3,38.33,1,-2.35
322.243,1,1,5,115.54000000000002,1,-5.47
116.204,1,0,5,20.23,1,-1.81
180.16699999999997,1,2,0,72.68,1,-1.39
212.249,2,1,4,75.27000000000001,1,-1.661
318.0300000000001,0,2,2,0.0,1,-6.9
158.241,0,0,6,26.3,1,-3.17
134.22199999999998,0,1,2,0.0,1,-3.75
288.44,0,0,7,18.46,1,-4.755
300.314,2,2,3,76.66,1,-4.805
96.944,0,0,0,0.0,1,-1.64
180.25000000000003,0,3,0,0.0,1,-5.22
86.13399999999999,0,0,3,17.07,1,-0.85
169.227,1,2,2,12.03,2,-3.5039999999999996
253.367,0,1,6,29.540000000000003,1,-3.927
353.4900000000001,0,1,9,38.77,1,-4.15
226.101,0,0,5,0.0,1,-4.81
188.657,0,2,1,0.0,1,-4.88
86.134,1,0,3,20.23,1,-0.15
168.15200000000002,2,2,0,75.27,1,-1.655
156.269,1,1,1,20.23,1,-2.53
88.106,0,0,2,26.3,1,-0.63
116.20399999999998,1,0,4,20.23,1,-1.55
214.062,1,1,1,29.1,1,-3.083
266.098,1,2,1,60.91,1,-3.127
346.33900000000017,1,2,4,107.77,1,-4.76
157.216,0,2,0,12.89,1,-1.94
110.2,0,0,4,0.0,1,-3.66
236.27099999999993,2,2,2,75.27000000000001,1,-2.17
228.294,0,4,0,0.0,2,-8.057
261.11899999999997,1,1,2,54.86,1,-2.523
360.88200000000006,0,2,1,0.0,1,-8.6
108.14,1,1,0,20.23,1,-0.62
128.259,0,0,2,0.0,1,-5.05
156.228,0,2,0,0.0,1,-4.14
242.321,0,4,0,0.0,1,-6.57
86.13399999999999,0,0,2,17.07,1,-0.19
429.77200000000016,0,2,1,0.0,1,-9.15
116.15999999999998,0,0,3,26.3,1,-0.82
394.43900000000014,4,4,2,115.06000000000002,1,-3.68
109.128,2,1,0,46.25,1,-0.8
260.253,1,2,5,90.06,1,-2.81
366.84400000000016,1,4,2,54.37,1,-5.931
229.71499999999995,1,1,5,53.940000000000005,1,-4.06
123.11499999999998,1,1,1,68.87,1,-0.667
237.097,2,0,3,72.19,1,-2.68
