atom a,atom b,lowest distortion,a,b,c,alpha,beta,gamma,vpa,mu_b,metal_or_insulator
Ac,Ac,cubic,4.705,4.705,4.705,90.0,90.0,90.0,20.836,0.0,insulator
Ac,Ag,orthorhombic,5.779,6.077,8.248,90.0,90.0,90.0,14.485,0.0,metal
Ac,Al,cubic,3.858,3.858,3.858,90.0,90.0,90.0,11.487,0.0,insulator
Ac,As,orthorhombic,5.78,6.012,8.262,90.0,90.0,90.0,14.355,0.0,metal
Ac,Au,orthorhombic,5.899,6.75,7.63,90.0,90.0,90.0,15.19,0.0,insulator
Ac,B,cubic,3.693,3.693,3.693,90.0,90.0,90.0,10.075,0.0,insulator
Ac,Ba,orthorhombic,6.315,6.356,10.436,90.0,90.0,90.0,20.944000000000003,0.2,metal
Ac,Be,cubic,3.761,3.761,3.761,90.0,90.0,90.0,10.639000000000001,0.183,metal
Ac,Bi,orthorhombic,6.09,6.415,8.796,90.0,90.0,90.0,17.182000000000002,0.0,insulator
Ac,Ca,orthorhombic,5.994,6.269,8.448,90.0,90.0,90.0,15.873,0.2,metal
Ac,Cd,orthorhombic,5.84,6.199,8.338,90.0,90.0,90.0,15.094000000000001,0.0,metal
Ac,Ce,cubic,4.581,4.581,4.581,90.0,90.0,90.0,19.227999999999998,0.0,insulator
Ac,Co,rhombohedral,5.522,5.522,5.522,60.1,60.1,60.1,11.94,0.592,metal
Ac,Cr,orthorhombic,5.594,5.639,7.925,90.0,90.0,90.0,12.5,0.6,insulator
Ac,Cs,tetragonal,4.179,4.179,5.702,90.0,90.0,90.0,19.919,0.004,metal
Ac,Cu,orthorhombic,5.509,5.528,7.809,90.0,90.0,90.0,11.892000000000001,0.0,metal
Ac,Dy,orthorhombic,5.989,6.176,8.595,90.0,90.0,90.0,15.895,0.0,insulator
Ac,Er,orthorhombic,5.96,6.123,8.521,90.0,90.0,90.0,15.547,0.0,insulator
Ac,Eu,orthorhombic,6.033,6.3,8.784,90.0,90.0,90.0,16.695,0.2,metal
Ac,Fe,orthorhombic,5.63,5.655,7.97,90.0,90.0,90.0,12.687000000000001,1.0,insulator
Ac,Ga,orthorhombic,5.584,5.622,7.895,90.0,90.0,90.0,12.392999999999999,0.0,insulator
Ac,Gd,orthorhombic,6.029,6.225,8.673,90.0,90.0,90.0,16.276,0.0,insulator
Ac,Ge,orthorhombic,5.744,5.816,8.154,90.0,90.0,90.0,13.62,0.0,metal
Ac,Hf,orthorhombic,5.773,5.94,8.324,90.0,90.0,90.0,14.273,0.0,metal
Ac,Hg,orthorhombic,5.817,6.68,8.231,90.0,90.0,90.0,15.992,0.0,metal
Ac,Ho,orthorhombic,5.975,6.152,8.551,90.0,90.0,90.0,15.716,0.0,insulator
Ac,In,orthorhombic,5.857,6.035,8.359,90.0,90.0,90.0,14.775,0.0,insulator
Ac,Ir,orthorhombic,5.616,5.907,8.082,90.0,90.0,90.0,13.405,0.0,insulator
Ac,K,orthorhombic,6.346,6.434,9.682,90.0,90.0,90.0,19.767,0.4,metal
Ac,La,cubic,4.562,4.562,4.562,90.0,90.0,90.0,18.986,0.0,insulator
Ac,Li,cubic,3.874,3.874,3.874,90.0,90.0,90.0,11.628,0.399,metal
Ac,Lu,orthorhombic,5.905,6.047,8.429,90.0,90.0,90.0,15.05,0.0,insulator
Ac,Mn,orthorhombic,5.612,5.655,7.948,90.0,90.0,90.0,12.612,0.8,metal
Ac,Mo,orthorhombic,5.684,5.914,8.143,90.0,90.0,90.0,13.687000000000001,0.403,metal
Ac,Nb,orthorhombic,5.717,5.966,8.201,90.0,90.0,90.0,13.985,0.001,metal
