number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp_K
9,106.879677777778,53.6891153846154,81.8931233520708,34.7188649581859,1.98379733934683,1.82594974701504,192.981,14.1066553846154,68.2447559796319,54.8231431178433,746.4,1004.89853846154,720.02113851305,941.25950799159,2.15777657240244,1.08241631799045,764.1,706.469923076923,222.805994333885,339.430307593839,160.444444444444,107.962307692308,149.264896944277,87.1992686122954,2.14196070533239,1.75991222772813,174,30.2030769230769,48.9560145234954,68.466910329437,6429.49211111111,3022.31869230769,2406.4932173732,62.9665796324939,1.9542965723777,1.46620631052009,11848.571,1370.79976923077,3853.04870316251,4139.77009248233,50.7111111111111,99.1835384615385,21.7756224832386,57.5482850460848,1.6684070937984,0.705799127040205,141.0,76.7175384615385,51.1723087973791,58.6596669371008,8.08466666666667,4.34146153846154,5.67335302691211,1.19771371554899,2.03441025240924,1.52599719792314,13.578,1.99469230769231,4.0304999414189,4.93417953767991,100.336286666667,82.9827738461538,27.1819380005969,1.20625086799977,1.60149122292518,0.924794300891278,399.97342,61.2164569230769,120.081762380655,142.539437222408,2.66666666666667,2.10846153846154,2.53479381369666,2.08509840986475,2.14196333177366,1.51799488799601,3,1.07461538461538,0.942809041582063,0.377956980739794,85.0
6,72.2460416666667,48.4982152027027,59.3241119722584,34.2668632735165,1.63565680960359,1.45514554889408,121.3276,16.9037972972973,38.7805734755863,40.14969650626,719.066666666667,1003.95810810811,678.872710808933,942.047482468692,1.72781087992115,0.943356279036398,810.6,688.056756756757,275.962604149346,334.085052695056,178.5,111.959459459459,158.508264556135,89.1640187107123,1.70542457489108,1.50422617414957,205,37.8783783783784,66.7151906739887,74.6009092019787,3520.5715,3155.3342027027,967.325788588466,73.9863289979376,1.44241202721485,0.775484772405222,8958.571,2420.8685,2815.23663666033,3806.94341953218,53.225,111.270878378378,24.330881547945,87.5520151359053,1.23423885847465,0.769087814187652,138.63,75.0752027027027,56.1966584860702,47.8750295311327,8.21033333333333,5.48956756756757,5.12500737104596,1.41279656103246,1.60943408472656,1.09261454041119,12.878,3.48283783783784,4.04337819431008,5.77201054268736,111.671096666667,113.399143513514,16.8360060215391,1.38282158879372,1.01383177959663,0.251965435143757,399.97342,108.09409972973,145.496504953487,175.327857443469,2.16666666666667,2.06081081081081,2.13982638786733,2.04992630257256,1.77823330579971,1.27358181309559,1,1.04054054054054,0.372677996249965,0.238982961943613,85.5
4,81.75669875,79.818980564,76.2828331659138,75.2563295024938,1.31259587756208,1.13856203490966,81.482,29.072855436,32.8903686946309,29.9803794064717,741.475,782.6048,723.246139987131,763.363315274914,1.36274578473721,1.04485303154221,443.7,366.95688,157.803998285848,163.152736958226,168.75,158.5392,161.714286781057,151.518064067392,1.34244374262868,1.15225741867753,139,57.7184,51.3292070852453,50.8054688331876,6502.75,6157.9952,6126.39407758987,5909.06841943913,1.33216903974058,1.04824525491057,5390.0,2894.6352,2072.76836320415,1650.47599242672,44.3375,42.4996,34.2584660957039,31.6913294376937,1.16644465627036,0.784844956460743,64.05,30.80896,28.4718144618498,30.7909002765427,16.425,18.23648,14.9190429506386,16.3915493544308,1.29351872952397,0.933632868010364,19.7,10.83376,7.15973986957627,8.02603247000658,61.75,55.5192,51.6377606524012,49.1189876653048,1.24488938578894,0.97349393994432,82.0,28.8792,30.8737347918907,23.150706930027,3.5,3.6152,3.30975091964687,3.40832948462296,1.33373602720281,1.00431137486287,3,1.9392,1.11803398874989,1.19863629179163,11.6
5,79.171174,53.6505694354715,59.994943314639,35.4878849819671,1.38995323673403,1.40926427299773,122.90607,15.4085990616828,50.4249572386324,48.243709388698,738.22,1000.7772804184,690.328114777212,933.308055571512,1.53656957994422,0.913855601845018,810.6,698.080772188894,299.031967521869,345.588241809736,167.0,110.082756499,146.121196729093,87.8545686889455,1.50875989419117,1.46243455485332,205,30.472235040763,68.6352679021507,73.0712613904687,4033.4858,3151.97706952776,843.945344498653,68.5566181878877,1.2247501848213,0.895613040648234,8958.571,2066.60468712506,3207.25675766792,3770.31568776135,66.244,111.720812182741,34.7356747059872,91.8267586670103,1.20974090816925,0.818834409396364,138.63,76.6813567143516,55.5785061332166,45.5833463139445,7.2324,4.80021873557914,4.16392151950927,1.26655025583226,1.37811041573788,1.0661269452632,12.878,2.90305768343332,4.16516110612783,5.35541180399456,126.205316,98.6837496662052,13.7839016024086,1.0999418548316,0.835026704071475,0.30866664408776,399.97342,92.2791791139825,155.469670208177,166.871499147644,2.2,2.1153668666359,2.1689435423954,2.09577710886241,1.59416669911802,1.25651884027482,1,1.04630056914321,0.4,0.319464164999012,16.0
7,110.540542857143,88.05629,81.18495362963,68.3789702795245,1.71017620302403,1.50712380768239,192.981,35.376308,72.9538810075606,63.8212548912594,736.385714285714,723.3897,704.283309941666,699.906374180342,1.89650216385778,1.66093713287476,773.0,222.9599,247.700853153681,211.371595735827,163.0,159.874,147.924890717573,149.384389505447,1.87104235153137,1.55577049151405,190,43.562,58.2506897567991,48.0043969236152,5944.91842857143,5532.7459,1708.91552150594,2108.26522318719,1.62894900224722,1.27722907495771,11338.571,2687.8571,4149.30674391111,3937.87291811675,64.8,69.20463,35.8052413956107,31.7675816076489,1.5917698640107,1.19855104278939,138.63,35.9185,50.6129540165926,55.4017519548173,7.71885714285714,9.25626,5.08416244868313,6.81462990492352,1.76868230963513,1.38568779651369,12.878,3.9215,3.87922110843959,3.75173354762835,98.7180828571429,169.225658,16.0209317470856,38.9720593749883,1.10422362271704,0.787119532684129,399.97342,119.997342,138.598176408107,166.179047250599,2.85714285714286,2.571,2.66709661118172,2.38718891023123,1.87406320769729,1.63335680919228,3,0.847,1.12485826771597,1.15106863392241,107.0
3,64.5793983333333,67.479704875,63.8141722835864,66.4936403008853,1.0863917071923,0.764146333264916,23.115,38.006670125,10.2464795681576,11.490155729171,819.2,849.725,814.915733635988,844.873120978789,1.09326087301013,0.776026133073068,182.3,451.2475,85.7023142433544,90.6751309621331,137.0,129.4,134.669258955207,126.67732567523,1.0823779782743,0.789525398356188,53,70.3,24.0970260959038,26.4071959889724,7197.66666666667,6372.15,6963.81856973568,6178.82696642631,1.06789670969884,0.79761311956031,4081.0,3517.65,1733.34173074889,1561.1777533324,92.9666666666667,108.05,60.4012879277436,60.1053983133065,0.758307699336275,0.344967152867161,179.3,96.62,75.7863810691311,88.7587882972723,11.8,9.66,10.6478670594613,8.66717012592119,1.01179196010041,0.752402709335522,10.8,6.15,4.63033476111609,4.27602619262324,59.84,40.285,16.0156097659978,6.44725043561159,0.704082538217507,0.27115879846177,99.48,37.265,42.8127457657179,39.8964782280341,4.33333333333333,4.525,4.16016764610381,4.27326396887171,1.05790542470367,0.720606927150387,3,2.9,1.24721912892465,1.48302899499639,10.0
3,56.2862933333333,51.655682,49.9867194941422,48.8095160295363,0.984442328510363,0.838641782586683,64.82088,29.294075,27.1244047082836,18.671473232127,702.466666666667,677.9,700.069135266892,676.495710076425,1.09513525199068,0.848623270468194,128.2,360.92,59.1144276429668,45.45681467063,161.666666666667,169.55,156.976127924081,167.16951898794,1.07107691660779,0.765085512573618,87,106.55,36.9353790047188,25.782697686627,5135.66666666667,4789.9,4481.34211722068,4495.43582351539,0.971505939344486,0.819044710040845,6240.0,2805.4,2585.96420874089,1762.68610081319,77.2666666666667,39.775,47.5773537026503,19.1559146299797,0.809491962062967,1.00280773127378,126.0,13.895,51.9556434748805,48.6290229698274,31.9,24.64,29.3017374439034,22.8883718892306,1.01391929300576,0.994114205848936,31.5,9.07,13.3558975737312,11.108348212043,75.3333333333333,46.0,56.2733236610071,33.571336362962,0.840874085100639,1.02195763557844,128.0,14.4,54.389541478323,45.1131909755894,4.33333333333333,4.15,4.30886938006377,4.13615202813666,1.09283055352849,0.854270397011568,1,2.2,0.471404520791032,0.357071421427142,4.6
2,144.9364745,118.92142725,135.275463062635,112.106884605599,0.627251212762602,0.678305233757522,104.060189,20.43814275,52.0300945,45.059383598305,776.45,720.025,768.205363167949,713.989551042766,0.682547677978656,0.618116202831757,225.7,275.375,112.85,97.7309668170739,186.0,192.0,185.612499579096,191.706220338989,0.691064568948292,0.535089293349835,24,105.0,12.0,10.3923048454133,13935.0,11252.5,12860.8320104105,10498.4441861267,0.617085006562237,0.68297191907264,10730.0,1602.5,5365.0,4646.22629130351,155.95,121.775,140.173749325614,110.811643977173,0.59376301587388,0.690020321626404,136.7,9.62499999999999,68.35,59.1928363486664,19.65,23.225,18.3030052177231,22.1476982965495,0.625403179452729,0.394951548735608,14.3,16.975,7.15,6.19208163705874,187.0,120.5,131.45341380124,84.2525034955457,0.412844414611115,0.638414394213145,266.0,39.5,133.0,115.18137870333,5.0,5.0,5.0,5.0,0.693147180559945,0.562335144618808,0,2.5,0.0,0.0,10.8
5,17.822681856,12.5849115776173,10.8794330220534,11.4249784159424,1.32263287566238,0.528572941969182,38.09036,10.8004102978339,12.7312773448721,5.32563418583675,942.52,1069.74124548736,838.236084047765,1053.90534613956,1.50668104526815,0.382991544756545,983.0,972.418772563177,410.242925106576,147.236891183985,121.8,73.4514139590854,98.3059297019528,69.936071338679,1.40474425122242,0.66300767263096,190,59.7364620938628,79.2550313860262,33.5725956653564,817.06818,2080.04396824609,46.2056317464769,1319.79432278161,0.998884085551153,0.108420775478209,2259.9101,2039.70766186823,829.380433726339,565.069050239515,68.48,145.598947051745,48.4118663682417,138.242906427993,1.3545406883152,0.196104221751127,146.9,140.141471119134,48.4414037781731,30.547643226822,22.1696,94.901166967509,2.638098782896,66.9449982144544,0.265790973958811,0.0123932675295037,104.64,94.7606317689531,41.4250504965293,30.731229201215,76.041266,131.475535154934,6.19685788982337,95.3715479258181,1.0913118179685,0.191401676449985,139.97417,126.35345258574,63.7003337087415,31.6130273702151,2.0,3.73375451263538,1.64375182951723,3.54502546152028,1.41848366194566,0.189412363251595,3,3.59506618531889,1.26491106406735,0.837661338103462,11.0
6,100.929283333333,59.1245769230769,74.0568391519,36.3038454999408,1.5570775741479,1.51635753536438,188.3839,20.0176769230769,66.102184037504,60.4087940561147,711.733333333333,989.17,670.281936667237,916.972213934775,1.72493117186538,0.984365871223559,810.6,702.965384615385,279.602292948792,356.526466090635,167.0,114.092307692308,149.080400764652,89.6189582375502,1.70548572417725,1.57048942653869,205,37.3384615384615,63.7861008893526,78.164663091534,5480.23816666667,2992.00023076923,1339.89028087284,63.2080884451413,1.43483780111875,1.22202034037516,11848.571,1377.69207692308,4170.70617245451,4079.26581198029,58.9866666666667,99.8102307692308,32.0756287673543,65.6993078021618,1.36558163202338,0.707060526984349,138.63,76.4628461538461,53.4479783423928,57.2264738690513,6.86033333333333,4.33461538461538,4.25382834835655,1.19629136754764,1.57323407031257,1.33294180558023,12.878,1.96076923076923,3.96349684271632,4.92738697389728,113.50443,81.8373892307692,17.6206004509419,1.10100865900014,1.0429610749083,0.777164263337009,399.97342,61.5241492307692,144.585307534311,144.575571762544,2.33333333333333,2.08461538461538,2.28942848510666,2.06980782878224,1.77213938843753,1.37961422511432,1,1.05384615384615,0.471404520791032,0.278308500232701,90.8
