crystallinity,synthesis,spacegroup,temperature_K,zT
Polycrystalline,"Arc-melted, vacuum",216.0,400.0,0.203822375
Polycrystalline,"Melted, vacuum",225.0,1000.0,1.230837438
Single crystal,Melted,166.0,300.0,0.5025
Polycrystalline,"Solid state reaction, vacuum",2.0,700.0,0.098456051
Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,300.0,0.053719136
Polycrystalline,Solid state reaction (under oxygen),62.0,300.0,0.021697095
Polycrystalline,"Solid state reaction, Ar",140.0,400.0,0.012720218
Polycrystalline,"Mechanochemical, Ar",225.0,300.0,0.058556925
Polycrystalline,"Solid state reaction, Ar",167.0,400.0,0.550827792
Polycrystalline,Melted,225.0,400.0,0.295085853
Polycrystalline,"Solid state reaction, vacuum",62.0,300.0,8.74126e-05
Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,400.0,0.109728996
Polycrystalline,"Solid state reaction, Ar",220.0,700.0,0.416392941
Polycrystalline,Solid state reaction,204.0,300.0,0.400777807
Polycrystalline,"Flux (Al), dynamic vacuum",223.0,700.0,0.091565242
Polycrystalline,"Solid state reaction, air",166.0,1000.0,0.03041577
Polycrystalline,Melted,65.0,300.0,0.011610217
Polycrystalline,"Microwave solvothermal, air",186.0,1000.0,0.426280342
Polycrystalline,"Solid state reaction, vacuum",148.0,300.0,0.000184926
Polycrystalline,"Solid state reaction, air",221.0,300.0,0.001837111
Polycrystalline,Solid state reaction,62.0,700.0,0.04998035
Polycrystalline,"Solid state reaction, air",186.0,400.0,0.024887514
Polycrystalline,"Solid state reaction, vacuum",148.0,700.0,0.015683881
Polycrystalline,Solid state reaction,206.0,300.0,0.009402057
Polycrystalline,"Solid state reaction, Ar",221.0,1000.0,0.149317383
Polycrystalline,"Solid state reaction, Ar",220.0,700.0,0.175137182
Polycrystalline,"Microwave solvothermal, air",186.0,700.0,0.033716067
Polycrystalline,"Solid state reaction, Ar",62.0,1000.0,0.090317483
Polycrystalline,"Solid state reaction, Ar",220.0,700.0,0.101964806
Polycrystalline,Spark plasma sintering,10.0,300.0,0.00625094
Polycrystalline,"Solid state reaction, air",221.0,300.0,0.003492303
Polycrystalline,"Solid state reaction, Ar",220.0,400.0,0.057160606
Polycrystalline,"Mechanochemical, Ar",225.0,400.0,0.125019427
Single crystal,"Czochralski method, anneal P(O2) = 10$^{-14}$",100.0,400.0,0.050985445
Polycrystalline,"Arc-melted, vacuum",216.0,300.0,0.011567378
Polycrystalline,Solid state reaction,206.0,400.0,0.022462541
Polycrystalline,"Solid state reaction, air",2.0,300.0,0.001368757
Polycrystalline,"Mechanochemical, Ar",225.0,700.0,0.322249944
Polycrystalline,"Arc-melted, vacuum",216.0,300.0,0.118473741
Polycrystalline,"Solid state reaction, vacuum",148.0,1000.0,0.039452953
Polycrystalline,Solid state reaction,206.0,400.0,0.027820846
Polycrystalline,"Arc-melted, Ar",216.0,700.0,1.3448
Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,300.0,0.15555838
Polycrystalline,Solid state reaction,62.0,400.0,0.024563669
Polycrystalline,"Mechanochemical, Ar",225.0,300.0,0.051644691
Polycrystalline,"Solid state reaction, air",186.0,1000.0,0.212496077
Polycrystalline,"Solid state reaction, air",166.0,400.0,0.035498382
Polycrystalline,"Solid state reaction, Ar",221.0,700.0,0.003633236
Polycrystalline,Solid state reaction,225.0,400.0,5.87234e-05
Polycrystalline,"Solid state reaction, Ar",55.0,400.0,0.017044865
Polycrystalline,Solid state reaction (under oxygen),74.0,400.0,0.019323409
Polycrystalline,Co-precipitation,62.0,700.0,0.079142343
Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,700.0,0.274353006
Polycrystalline,"Melted, inert",223.0,700.0,0.096098183
