epsilon_x opt,epsilon_y opt,epsilon_z opt,e_form,exfoliation_en,band_gap_eV
10.3295,10.3295,7.0367,-0.624,63.593833333333016,0.0341
4.7325,5.6477,2.6267,0.16,134.86375000000007,0.7467
6.4357,5.2377,3.007,-2.231,43.11466666666686,0.0023
9.3915,9.3915,4.2669,0.24,240.71548750000002,0.0266
2.7367,2.7367,2.0162,-2.245,67.44283333333368,0.0484
2.303,2.4367,2.2339,-1.306,66.30685000000014,2.2826
2.3318,2.4729,2.2521,-2.04,45.94237500000009,1.8234
37.3468,37.3472,3.5319,-0.04,89.47600000000034,0.5289
2.8944,2.8944,2.7008,-1.769,36.73083333333338,1.3309
2.1019,2.3753,1.8636,-0.598,76.13090000000078,1.1115
26.5044,26.5044,3.2882,-1.768,57.381499999999974,0.0132
15.701,9.585,2.0206,-0.925,1.6598333333330828,1.3905
2.0382,2.0382,2.0954,-0.116,88.70622750000001,1.9771
16.7072,16.7072,2.6201,0.102,85.11186666666659,0.0281
2.9142,2.9246,2.3904,-0.698,74.06065000000028,1.1027
2.847,2.6254,2.2545,-1.726,42.066166666666405,1.9056
1.9965,1.9948,1.8948,-0.752,77.39025,2.8824
7.6242,7.6242,5.4266,-1.059,44.36850000000003,0.074
2.0545,2.0545,1.9386,-1.381,92.26887499999981,2.8984
28.6941,25.369,5.336,-0.269,80.4718750000002,0.0081
12.9578,12.9578,2.5256,-0.217,81.84250000000004,0.019
1.4121,1.3904,1.4634,-2.362,68.47100000000061,2.7324
14.1627,14.1627,2.0511,-0.925,66.60233333333298,1.4092
2.3341,2.3263,2.1986,-0.667,81.01406249999998,2.998
2.0335,2.0335,2.0131,-3.091,37.02383333333259,2.6996
1.6784,1.6784,1.7464,-1.917,70.60972727272753,4.0791
1.8997,1.8997,1.8105,-1.882,87.05199999999991,3.21
10.3175,16.3776,1.6877,-0.752,68.94950000000044,0.0161
19.8793,21.8199,3.3356,-0.692,113.1188333333335,0.0075
4.4729,4.4729,3.5123,0.063,25.958624999999902,0.9862
2.9013,2.9013,5.9349,0.214,49.874333333333354,0.0087
11.7028,11.7028,1.6914,-2.288,58.829666666667,0.1437
1.6941,1.6941,2.2018,-0.093,49.335499999999755,0.9469
1.942,1.942,2.0512,-0.485,161.29653333333317,1.9231
26.9886,26.9886,8.6294,0.026,400.6573333333332,0.0579
11.9162,11.9166,6.2042,-1.093,66.03520000000086,0.0542
2.1592,2.4597,1.9728,-1.025,90.85875000000021,2.0905
4.6211,4.6211,3.1155,-1.419,36.14849999999991,0.0476
2.0269,2.0269,1.6711,-0.943,110.77446153846138,2.6803
11.7419,7.6448,2.4614,-1.281,70.2695999999996,0.0232
16.877,16.877,11.6213,-0.351,49.72449999999995,0.008
28.9687,28.9687,2.9923,-0.018,81.66794999999996,0.025
21.0765,21.0822,2.3198,-1.025,80.01143333333304,0.1738
39.1862,39.1861,11.4886,-0.97,43.283666666666946,0.0522
9.7248,9.7248,7.3142,-0.729,72.76900000000009,0.0867
14.2705,14.2705,8.1382,-0.164,83.87628000000014,0.0178
2.4738,2.4738,2.2519,-0.004,84.6315125,1.8869
9.4178,9.4178,2.1991,-0.5,85.46425000000025,0.0374
2.6497,2.6497,2.4622,-1.983,35.22750000000041,2.4043
16.2078,25.199,2.7561,-0.403,72.20308333333358,0.968
2.1597,1.864,1.987,-2.91,39.95116666666654,3.2365
11.5718,6.8659,2.529,-0.316,65.5528000000003,1.2131
2.5865,2.7959,2.5026,-2.674,39.206666666665946,1.9939
1.661,1.6578,1.4719,-1.908,140.2239999999999,3.1428
1.5508,1.5508,1.5392,-1.086,77.91661666666666,4.3192
8.6822,8.6822,1.7738,-1.59,72.44275,0.0801
3.3891,3.3891,3.3439,-1.499,40.33816666666734,1.0297
25.5838,22.673,4.3943,0.254,317.5542833333332,0.0051
