doi,doi_h,label,target,interf,recep,conf,Et,Ei,dE,gold,pred,correct
10.1021/acs.joc.6b00267,10.1021_acs.joc.6b00267,L1,"Picric acid (PA, 2,4,6-trinitrophenol)","2,4,6-Trinitrotoluene (TNT)",R1,high,-14.863623839008696,-13.296021519767935,-1.5676023192407609,target_favored,target_favored,True
10.1021/acs.joc.6b00267,10.1021_acs.joc.6b00267,L2,"Picric acid (PA, 2,4,6-trinitrophenol)","2,4-Dinitrophenol (DNP)",R1,high,-26.51659174569422,-15.581959556871592,-10.93463218882263,target_favored,target_favored,True
10.1021/acs.joc.6b00267,10.1021_acs.joc.6b00267,L3,"Picric acid (PA, 2,4,6-trinitrophenol)",4-Nitrophenol (NP),R1,high,-20.38966680915607,-13.374810143085956,-7.014856666070113,target_favored,target_favored,True
10.1021/acs.joc.6b00267,10.1021_acs.joc.6b00267,L4,"Picric acid (PA, 2,4,6-trinitrophenol)",Nitrobenzene (NB),R1,high,-26.29757501724565,-10.380669319852771,-15.916905697392878,target_favored,target_favored,True
10.1021/acs.joc.6b00267,10.1021_acs.joc.6b00267,L5,"Picric acid (PA, 2,4,6-trinitrophenol)",Nitromethane (NM),R1,high,-32.78098613406426,-6.720979682080923,-26.060006451983334,target_favored,target_favored,True
10.1021/acsomega.6b00288,10.1021_acsomega.6b00288,L01,"Picric acid (2,4,6-trinitrophenol)","2,4,6-Trinitrotoluene",R1,high,-17.31438006511854,-30.040450352802516,12.726070287683974,target_favored,interferent_favored,False
10.1021/acsomega.6b00288,10.1021_acsomega.6b00288,L02,"Picric acid (2,4,6-trinitrophenol)",Nitrobenzene,R1,high,-16.76733376031994,-11.458871149405534,-5.308462610914406,target_favored,target_favored,True
10.1021/acsomega.6b00288,10.1021_acsomega.6b00288,L03,"Picric acid (2,4,6-trinitrophenol)","2,4-Dinitrophenol",R1,high,-31.512248917420514,-19.06477512041717,-12.447473797003344,target_favored,target_favored,True
10.1021/acsomega.6b00288,10.1021_acsomega.6b00288,L04,"Picric acid (2,4,6-trinitrophenol)",4-Nitrophenol,R1,high,-29.900337706166802,-14.472810498171857,-15.427527207994945,target_favored,target_favored,True
10.1021/acsomega.6b00288,10.1021_acsomega.6b00288,L05,"Picric acid (2,4,6-trinitrophenol)","1,3-Dinitrobenzene",R1,high,-33.970900364138956,-12.671677942838546,-21.29922242130041,target_favored,target_favored,True
10.1021/acsomega.6b00288,10.1021_acsomega.6b00288,L06,"Picric acid (2,4,6-trinitrophenol)","2,4-Dinitrotoluene",R1,high,-15.747388034413452,-18.16853993987035,2.421151905456897,target_favored,interferent_favored,False
10.1021/acsomega.6b00288,10.1021_acsomega.6b00288,L07,"Picric acid (2,4,6-trinitrophenol)","3,4-Dinitrotoluene",R1,high,-25.635143604277186,-15.67369199510342,-9.961451609173766,target_favored,target_favored,True
