doi,material_class,chemistry_family,electrode_role,cell_type,current_density_A_g,C_rate,cycle_number,upper_cutoff_V,lower_cutoff_V,temperature_C,loading_mg_cm2,first_cycle_CE_percent,specific_capacity_mAh_g
10.1038/s41467-019-13436-3,V2O5,Zn-ion,cathode,full-cell,0.6,,800.0,,,,,,110.0
10.1038/s41467-019-09510-5,silicon,Li-ion,anode,half-cell,,0.5,1000.0,,,,0.8,80.3,1271.0
10.1038/s41467-023-39637-5,hard-carbon,Na-ion,anode,half-cell,0.02,,,,,30.0,1.8,,430.0
10.1038/s41467-019-12857-4,other,Zn-ion,cathode,full-cell,0.05,,,1.3,0.5,25.0,2.0,,228.0
10.1002/adma.202001113,V2O5,Zn-ion,cathode,half-cell,1.0,,1.0,1.6,0.2,25.0,,,398.8
10.1038/s41467-020-15217-9,silicon,Li-ion,anode,half-cell,,,1500.0,1.5,0.02,,,,1500.0
10.1038/s41467-022-30939-8,other-oxide,Zn-ion,cathode,full-cell,1.0,,1000.0,,,25.0,16.0,,90.0
10.1038/s41467-019-13739-5,other,Na-ion,cathode,half-cell,0.02,,100.0,3.6,1.0,,,,452.0
10.1038/s41467-021-25611-6,NMC,Li-ion,cathode,full-cell,,0.5,1000.0,4.4,2.75,25.0,,,170.0
10.1038/s41467-021-24697-2,other-oxide,Li-ion,cathode,full-cell,,1.0,200.0,3.8,2.2,25.0,,90.3,149.0
10.1038/s41467-021-22523-3,other-oxide,Na-ion,cathode,half-cell,0.02,,100.0,4.3,1.8,25.0,3.0,,240.5
10.1038/s41467-019-13362-4,LFP,Li-ion,cathode,full-cell,,,,,,,,,120.0
10.1038/s41467-023-39947-8,other-oxide,Zn-ion,cathode,full-cell,,,,,,,,,256.55
10.1038/s41467-021-24701-9,other,Zn-ion,cathode,full-cell,0.1,,,,,,1.3,,303.0
10.1038/s41467-018-07980-7,other-oxide,Al-ion,cathode,full-cell,0.03,,60.0,1.8,0.5,30.0,,,467.0
10.1038/s41467-020-17976-x,NMC,Li-ion,cathode,full-cell,,0.25,500.0,4.3,2.7,,18.0,,195.0
10.1038/s41467-020-16039-5,other-oxide,Zn-ion,cathode,full-cell,0.1,,,1.5,0.3,,1.0,,239.0
10.1038/s41467-021-24893-0,NMC,Li-ion,cathode,half-cell,,0.2,,4.3,2.7,,,,220.0
10.1038/s41467-021-25610-7,other-oxide,Na-ion,cathode,half-cell,0.025,0.1,,4.3,2.0,25.0,3.5,92.3,160.5
10.1038/s41560-022-01020-x,NMC,Li-ion,cathode,half-cell,,0.333,200.0,4.8,2.8,,4.5,,235.0
10.1038/s41467-020-14550-3,Li-metal,Li-metal,anode,full-cell,,5.0,500.0,,,,5.0,,132.0
10.1038/s41467-022-35736-x,sulfur,Li-S,cathode,full-cell,,1.0,1000.0,2.8,1.7,25.0,1.2,,1001.0
10.1002/adma.202002292,other-oxide,Zn-ion,cathode,full-cell,,,,,,,,,648.0
10.1038/s41467-022-30942-z,other-oxide,Na-ion,cathode,half-cell,0.092,,,4.15,2.4,25.0,,,96.6
10.1038/s41467-019-08383-y,silicon,Li-ion,anode,half-cell,,,,1.2,0.005,,,84.0,3200.0
10.1002/adfm.202003890,other-oxide,Zn-ion,cathode,full-cell,0.5,,,1.4,0.4,,2.25,,372.0
10.1038/s41467-019-11925-z,MoS2,Na-ion,anode,half-cell,0.1,,,3.0,0.1,,,,598.0
10.1038/s41467-023-36793-6,NMC,Li-ion,cathode,full-cell,,,,4.4,2.8,30.0,,,214.0
10.1038/s41467-023-35857-x,NMC,Li-ion,cathode,full-cell,0.02,,200.0,4.5,2.8,-20.0,2.5,,151.0
10.1038/s41467-023-36198-5,other,Zn-ion,cathode,full-cell,1.0,,1200.0,1.5,0.5,-80.0,1.1,,74.17
10.1021/acsnano.9b09371,other-oxide,Li-S,cathode,full-cell,,0.02,,,,,,94.6,1445.9
10.1038/s41467-023-44615-y,other-oxide,Zn-ion,cathode,full-cell,0.1,,100.0,1.6,0.2,25.0,2.0,,313.7
10.1038/s41467-022-31461-7,other-oxide,Zn-ion,cathode,full-cell,,,2000.0,1.85,0.85,25.0,5.6,,90.0
10.1038/s41467-021-27866-5,sulfur,Li-S,cathode,full-cell,0.084,0.05,,2.7,1.8,25.0,,,1426.0
10.1038/s41467-022-28793-9,other-oxide,Li-ion,cathode,half-cell,0.05,,120.0,4.8,2.0,,,,240.0
10.1038/s41467-021-24873-4,sulfur,Li-S,cathode,half-cell,,0.1,100.0,,,25.0,52.4,,692.0
10.1002/aenm.202201989,other-oxide,Na-ion,cathode,half-cell,,0.1,,4.5,2.0,,,,171.2
10.1038/s41467-021-23155-3,sulfur,Li-S,cathode,full-cell,,1.0,300.0,3.0,1.8,,,,1239.0
10.1038/s41467-023-38460-2,other-oxide,Zn-ion,cathode,full-cell,,0.5,,1.4,0.5,25.0,3.75,,210.0
10.3389/fmats.2019.00001,other-oxide,Li-ion,anode,half-cell,0.085,,,3.0,0.01,25.0,,63.7,548.3
10.1038/s41467-023-39522-1,NMC,Li-ion,cathode,full-cell,0.02,,,3.68,2.18,25.0,,87.31,173.96
10.1038/s41467-020-15044-y,other-oxide,K-ion,cathode,half-cell,0.2,,2000.0,4.6,1.5,,1.0,,112.0
10.1038/s41467-022-35636-0,other-oxide,Li-ion,cathode,full-cell,0.7,,900.0,,,60.0,,,600.0
10.1038/s41467-023-40969-5,other,Zn-ion,cathode,half-cell,0.2,,,1.6,0.2,25.0,1.5,,498.6
10.1038/s41467-023-37997-6,NMC,Li-ion,cathode,full-cell,,0.5,200.0,4.5,2.8,30.0,,,164.19
10.1038/s41563-020-00870-8,other-oxide,Na-ion,cathode,half-cell,,0.125,40.0,4.5,1.5,,5.0,,190.0
10.1002/aenm.202100982,other-oxide,Zn-ion,anode,full-cell,0.65,,1000.0,,,,,,151.0
10.1038/s41598-019-44915-8,MnO2,Zn-ion,cathode,full-cell,0.2,,,1.8,1.0,,,,235.0
10.1038/s41467-022-29118-6,NMC,Li-ion,cathode,full-cell,,1.0,300.0,,,90.0,20.0,,171.2
10.1021/jacs.3c00117,other-oxide,Na-ion,cathode,half-cell,,0.05,,4.6,1.5,,,,266.0
