title,year,venue,cited,doi,pdf
Fluorinated interphase enables reversible aqueous zinc battery chemistries,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),1177,10.1038/s41565-021-00905-4,
Electrolyte design for LiF-rich solid–electrolyte interfaces to enable high-performance microsized alloy anodes for batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),1138,10.1038/s41560-020-0601-1,
Enhanced Potassium-Ion Storage of the 3D Carbon Superstructure by Manipulating the Nitrogen-Doped Species and Morphology,2020,Nano-Micro Letters,894,10.1007/s40820-020-00525-y,https://link.springer.com/content/pdf/10.1007/s40820-020-00525-y.pdf
Tailoring electrolyte solvation for Li metal batteries cycled at ultra-low temperature,2021,PubMed Central,849,10.1038/s41560-021-00783-z,
Revealing the closed pore formation of waste wood-derived hard carbon for advanced sodium-ion battery,2023,Nature Communications,809,10.1038/s41467-023-39637-5,https://www.nature.com/articles/s41467-023-39637-5.pdf
Electrolyte Design for In Situ Construction of Highly Zn 2+ ‐Conductive Solid Electrolyte Interphase to Enable High‐Performance Aqueous Zn‐Ion Batteries under P,2021,Figshare,796,10.1002/adma.202007416,
"High areal capacity, long cycle life 4 V ceramic all-solid-state Li-ion batteries enabled by chloride solid electrolytes",2022,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),628,10.1038/s41560-021-00952-0,
An Inorganic‐Rich Solid Electrolyte Interphase for Advanced Lithium‐Metal Batteries in Carbonate Electrolytes,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),607,10.1002/anie.202012005,
Steric Effect Tuned Ion Solvation Enabling Stable Cycling of High-Voltage Lithium Metal Battery,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),596,10.1021/jacs.1c09006,https://www.osti.gov/servlets/purl/1878520
MgO‐Template Synthesis of Extremely High Capacity Hard Carbon for Na‐Ion Battery,2020,Angewandte Chemie International Edition,579,10.1002/anie.202013951,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202013951
Tuning the Kinetics of Zinc‐Ion Insertion/Extraction in V 2 O 5 by In Situ Polyaniline Intercalation Enables Improved Aqueous Zinc‐Ion Storage Performance,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),557,10.1002/adma.202001113,https://www.osti.gov/servlets/purl/1756167
Hierarchical porous silicon structures with extraordinary mechanical strength as high-performance lithium-ion battery anodes,2020,Nature Communications,540,10.1038/s41467-020-15217-9,https://www.nature.com/articles/s41467-020-15217-9.pdf
Nitrogen-rich covalent organic frameworks with multiple carbonyls for high-performance sodium batteries,2020,Nature Communications,527,10.1038/s41467-019-13739-5,https://www.nature.com/articles/s41467-019-13739-5.pdf
Lanthanum nitrate as aqueous electrolyte additive for favourable zinc metal electrodeposition,2022,Nature Communications,512,10.1038/s41467-022-30939-8,https://www.nature.com/articles/s41467-022-30939-8.pdf
In situ inorganic conductive network formation in high-voltage single-crystal Ni-rich cathodes,2021,Nature Communications,487,10.1038/s41467-021-25611-6,https://www.nature.com/articles/s41467-021-25611-6.pdf
Tuning local chemistry of P2 layered-oxide cathode for high energy and long cycles of sodium-ion battery,2021,Nature Communications,482,10.1038/s41467-021-22523-3,https://www.nature.com/articles/s41467-021-22523-3.pdf
A cost-effective and humidity-tolerant chloride solid electrolyte for lithium batteries,2021,Nature Communications,475,10.1038/s41467-021-24697-2,https://www.nature.com/articles/s41467-021-24697-2.pdf
Low-temperature and high-rate-charging lithium metal batteries enabled by an electrochemically active monolayer-regulated interface,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),473,10.1038/s41560-020-0640-7,
"Tuning the Electrolyte Solvation Structure to Suppress Cathode Dissolution, Water Reactivity, and Zn Dendrite Growth in Zinc‐Ion Batteries",2021,Figshare,471,10.1002/adfm.202104281,
3D hierarchical graphene matrices enable stable Zn anodes for aqueous Zn batteries,2023,Nature Communications,442,10.1038/s41467-023-39947-8,https://www.nature.com/articles/s41467-023-39947-8.pdf
Solid‐State Electrolyte Design for Lithium Dendrite Suppression,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),437,10.1002/adma.202002741,
Interface chemistry of an amide electrolyte for highly reversible lithium metal batteries,2020,Nature Communications,431,10.1038/s41467-020-17976-x,https://www.nature.com/articles/s41467-020-17976-x.pdf
Organic-Inorganic-Induced Polymer Intercalation into Layered Composites for Aqueous Zinc-Ion Battery,2020,Chem,423,10.1016/j.chempr.2020.02.001,http://www.cell.com/article/S2451929420300486/pdf
Free-standing ultrathin lithium metal–graphene oxide host foils with controllable thickness for lithium batteries,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),410,10.1038/s41560-021-00833-6,
A high capacity small molecule quinone cathode for rechargeable aqueous zinc-organic batteries,2021,Nature Communications,409,10.1038/s41467-021-24701-9,https://www.nature.com/articles/s41467-021-24701-9.pdf
A chemically self-charging aqueous zinc-ion battery,2020,Nature Communications,408,10.1038/s41467-020-16039-5,https://www.nature.com/articles/s41467-020-16039-5.pdf
Boron-doped sodium layered oxide for reversible oxygen redox reaction in Na-ion battery cathodes,2021,Nature Communications,408,10.1038/s41467-021-25610-7,https://www.nature.com/articles/s41467-021-25610-7.pdf
Additive engineering for robust interphases to stabilize high-Ni layered structures at ultra-high voltage of 4.8 V,2022,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),407,10.1038/s41560-022-01020-x,https://www.osti.gov/servlets/purl/1872753
Mechanical rolling formation of interpenetrated lithium metal/lithium tin alloy foil for ultrahigh-rate battery anode,2020,Nature Communications,402,10.1038/s41467-020-14550-3,https://www.nature.com/articles/s41467-020-14550-3.pdf
Surface enrichment and diffusion enabling gradient-doping and coating of Ni-rich cathode toward Li-ion batteries,2021,Nature Communications,401,10.1038/s41467-021-24893-0,https://www.nature.com/articles/s41467-021-24893-0.pdf
Molecular grafting towards high-fraction active nanodots implanted in N-doped carbon for sodium dual-ion batteries,2020,National Science Review,396,10.1093/nsr/nwaa178,https://academic.oup.com/nsr/article-pdf/8/7/nwaa178/39375184/nwaa178.pdf
Isolated Fe-Co heteronuclear diatomic sites as efficient bifunctional catalysts for high-performance lithium-sulfur batteries,2023,Nature Communications,370,10.1038/s41467-022-35736-x,https://www.nature.com/articles/s41467-022-35736-x.pdf
Chaotropic Anion and Fast-Kinetics Cathode Enabling Low-Temperature Aqueous Zn Batteries,2021,Figshare,363,10.1021/acsenergylett.1c01054,
Niobium-doped layered cathode material for high-power and low-temperature sodium-ion batteries,2022,Nature Communications,360,10.1038/s41467-022-30942-z,https://www.nature.com/articles/s41467-022-30942-z.pdf
Architecting a Stable High-Energy Aqueous Al-Ion Battery,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),357,10.1021/jacs.0c05054,
An Iron‐Decorated Carbon Aerogel for Rechargeable Flow and Flexible Zn–Air Batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),355,10.1002/adma.202002292,https://www.osti.gov/servlets/purl/1712662
Exfoliation and Delamination of Ti 3 C 2 T x MXene Prepared via Molten Salt Etching Route,2021,HAL (Le Centre pour la Communication Scientifique Directe),354,10.1021/acsnano.1c08498,https://hal.science/hal-03826847/document
Regulation of Lamellar Structure of Vanadium Oxide via Polyaniline Intercalation for High‐Performance Aqueous Zinc‐Ion Battery,2020,UEA Digital Repository (University of East Anglia),348,10.1002/adfm.202003890,https://ueaeprints.uea.ac.uk/id/eprint/77049/1/Accepted_Manuscript.pdf
Gradient design of imprinted anode for stable Zn-ion batteries,2023,Nature Communications,346,10.1038/s41467-023-36386-3,https://www.nature.com/articles/s41467-023-36386-3.pdf
A monofluoride ether-based electrolyte solution for fast-charging and low-temperature non-aqueous lithium metal batteries,2023,Nature Communications,345,10.1038/s41467-023-36793-6,https://www.nature.com/articles/s41467-023-36793-6.pdf
Highly reversible Zn anode with a practical areal capacity enabled by a sustainable electrolyte and superacid interfacial chemistry,2022,Joule,341,10.1016/j.joule.2022.04.017,http://www.cell.com/article/S2542435122001842/pdf
Sieving carbons promise practical anodes with extensible low-potential plateaus for sodium batteries,2022,National Science Review,340,10.1093/nsr/nwac084,https://academic.oup.com/nsr/advance-article-pdf/doi/10.1093/nsr/nwac084/44249255/nwac084.pdf
Deep neural network battery charging curve prediction using 30 points collected in 10 min,2021,Joule,337,10.1016/j.joule.2021.05.012,http://www.cell.com/article/S2542435121002476/pdf
Formation of LiF‐rich Cathode‐Electrolyte Interphase by Electrolyte Reduction,2022,Angewandte Chemie International Edition,337,10.1002/anie.202202731,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202202731
Tailoring polymer electrolyte ionic conductivity for production of low- temperature operating quasi-all-solid-state lithium metal batteries,2023,Nature Communications,335,10.1038/s41467-023-35857-x,https://www.nature.com/articles/s41467-023-35857-x.pdf
Efficient fast-charging of lithium-ion batteries enabled by laser-patterned three-dimensional graphite anode architectures,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),320,10.1016/j.jpowsour.2020.228475,https://www.osti.gov/servlets/purl/1924791
Constructing robust heterostructured interface for anode-free zinc batteries with ultrahigh capacities,2023,Nature Communications,320,10.1038/s41467-022-35630-6,https://www.nature.com/articles/s41467-022-35630-6.pdf
Tailoring water structure with high-tetrahedral-entropy for antifreezing electrolytes and energy storage at −80 °C,2023,Nature Communications,320,10.1038/s41467-023-36198-5,https://www.nature.com/articles/s41467-023-36198-5.pdf
High Interfacial-Energy Interphase Promoting Safe Lithium Metal Batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),318,10.1021/jacs.9b11750,
Construct Robust Epitaxial Growth of (101) Textured Zinc Metal Anode for Long Life and High Capacity in Mild Aqueous Zinc‐Ion Batteries,2023,Advanced Materials,316,10.1002/adma.202305988,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202305988
Phenanthroline Covalent Organic Framework Electrodes for High-Performance Zinc-Ion Supercapattery,2020,ACS Energy Letters,314,10.1021/acsenergylett.0c00903,https://pubs.acs.org/doi/pdf/10.1021/acsenergylett.0c00903
